variant,doc_to_model_macro_precision,doc_to_model_macro_recall,doc_to_model_macro_f1,doc_to_model_macro_f2,doc_to_model_component_miss_rate,dc_file_precision,dc_file_recall,dc_file_f1,dc_file_f2,dc_worst_component_f1,dc_worst_component_f2,dc_harmonic_component_f1,dc_harmonic_component_f2,unique_tps
Full,0.908067,0.967874,0.936233,0.954754,0.000000,0.855496,0.910120,0.878500,0.896190,0.764379,0.776023,0.910500,0.913507,
Name,0.913149,0.883588,0.895312,0.887664,0.000000,0.854673,0.825867,0.832101,0.826427,0.688922,0.664159,0.864753,0.843190,151
Coref,0.891429,0.167727,0.275374,0.198607,36.340732,0.891657,0.165405,0.270621,0.195650,0.013378,0.009042,0.027917,0.020921,15
No knowledge,0.953372,0.809644,0.867590,0.830423,10.800478,0.924507,0.706813,0.773400,0.727581,0.441611,0.410468,0.522174,0.508270,
