system,mediastore_input_k,mediastore_output_k,teastore_input_k,teastore_output_k,teammates_input_k,teammates_output_k,bigbluebutton_input_k,bigbluebutton_output_k,jabref_input_k,jabref_output_k,Total_input_k,Total_output_k
approach,9.923333,2.120333,11.368000,3.472000,43.835333,7.699667,27.406333,7.331667,6.029000,2.067333,98.562000,22.691000
Artemis,2.636000,2.782333,2.892333,3.516000,7.670000,8.567667,4.833000,6.052000,2.003000,2.450000,20.034333,23.368000
