backend,variant,project,dm_link_precision,dm_link_recall,dm_link_f1,dm_link_f2,dm_component_miss_rate,dc_file_precision,dc_file_recall,dc_file_f1,dc_file_f2,dc_component_micro_f1,dc_component_micro_f2,dc_worst_component_f1,dc_worst_component_f2,dc_harmonic_component_f1,dc_harmonic_component_f2
luna,Name,teammates,0.660268,0.859649,0.745368,0.809460,0.000000,0.775646,0.779260,0.777218,0.778386,0.593530,0.520021,0.414815,0.564081,0.680733,0.713140
luna,Name,bigbluebutton,0.852900,0.795699,0.822764,0.806192,0.000000,0.721044,0.860693,0.784422,0.828383,0.861697,0.855999,0.548889,0.524121,0.798153,0.798589
luna,Name,jabref,0.949123,1.000000,0.973447,0.989091,0.000000,0.963181,1.000000,0.980575,0.991964,0.978100,0.991045,0.866667,0.939394,0.967059,0.986406
luna,Name,Average,0.862763,0.854048,0.852729,0.852052,0.000000,0.855660,0.814542,0.828436,0.818704,0.828269,0.801450,0.614792,0.626924,0.837139,0.828160
luna,Coref,mediastore,1.000000,0.365591,0.528747,0.416669,35.483871,1.000000,0.322034,0.475165,0.369102,0.568740,0.457013,0.000000,0.000000,0.000000,0.000000
luna,Coref,teastore,0.952137,0.419753,0.574603,0.469934,4.938272,0.961024,0.376238,0.534203,0.426354,0.574603,0.469934,0.111111,0.079365,0.191693,0.156331
luna,Coref,teammates,0.849817,0.233918,0.363370,0.272626,14.035088,0.930536,0.210572,0.337770,0.247709,0.235418,0.162859,0.109302,0.075627,0.216631,0.157109
luna,Coref,bigbluebutton,0.958170,0.220430,0.356690,0.260134,33.333333,0.676128,0.132113,0.219475,0.157092,0.404741,0.301174,0.000000,0.000000,0.000000,0.000000
luna,Coref,jabref,0.333333,0.018519,0.035088,0.022831,92.592593,0.333333,0.039187,0.070130,0.047585,0.028986,0.018727,0.000000,0.000000,0.000000,0.000000
luna,Coref,Average,0.818691,0.251642,0.371700,0.288439,36.076631,0.780205,0.216029,0.327349,0.249568,0.362498,0.281941,0.044083,0.030999,0.081665,0.062688
luna,No knowledge,mediastore,1.000000,0.591398,0.743129,0.643980,35.483871,1.000000,0.451977,0.622403,0.507556,0.791243,0.703269,0.000000,0.000000,0.000000,0.000000
luna,No knowledge,teastore,1.000000,0.703704,0.824952,0.747500,18.518519,1.000000,0.432815,0.602920,0.487786,0.824952,0.747500,0.000000,0.000000,0.000000,0.000000
luna,No knowledge,teammates,0.741028,0.959064,0.834475,0.904440,0.000000,0.927056,0.803508,0.860752,0.825443,0.613762,0.532454,0.476191,0.621550,0.747063,0.774928
luna,No knowledge,bigbluebutton,0.906204,0.720430,0.802585,0.751166,0.000000,0.789192,0.863091,0.823695,0.846665,0.864943,0.831180,0.560847,0.521886,0.806407,0.777109
luna,No knowledge,jabref,1.000000,1.000000,1.000000,1.000000,0.000000,0.999516,1.000000,0.999758,0.999903,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
luna,No knowledge,Average,0.929446,0.794919,0.841028,0.809417,10.800478,0.943153,0.710278,0.781906,0.733471,0.818980,0.762881,0.407407,0.428687,0.510694,0.510407
