system,dm_p,dm_r,dm_f1,dm_f2,dc_p,dc_r,dc_f1,dc_f2
approach,0.9140,0.9669,0.9385,0.9551,0.9045,0.9121,0.9061,0.9091
Artemis,0.8052,0.8496,0.8093,0.8282,0.7953,0.8742,0.8127,0.8435
SWATTR,0.8695,0.7717,0.7990,0.7783,,,,
TransArC,,,,,0.8855,0.7753,0.8026,0.7823
