judge,rej_fp,rej_tp,keep_tp,keep_fp,dm_p,dm_r,dm_f1,dm_f2,cmr,dc_p,dc_r,dc_f1,dc_f2,dc_worst_f1,dc_worst_f2,dc_harm_f1,dc_harm_f2
full_on,144.33,9.67,185.33,25,0.908067,0.967874,0.936233,0.954754,0.000000,0.855496,0.910120,0.878500,0.896190,0.764379,0.776023,0.910500,0.913507
name,99,9.67,170.33,23,0.747043,1.000000,0.839986,0.921941,0.000000,0.763485,0.955804,0.841466,0.903850,0.563600,0.697287,0.819548,0.898905
coref,53,1.33,34.33,2,0.764088,0.972552,0.853007,0.919904,0.000000,0.768953,0.918149,0.831726,0.879755,0.663851,0.759246,0.854865,0.894720
no_judge,0,0,195,166,0.669844,1.000000,0.786310,0.893525,0.000000,0.711844,0.959987,0.805439,0.886652,0.534327,0.689658,0.780300,0.879313
