project,dm_approach_p,dm_approach_r,dm_approach_f1,dm_approach_f2,dm_Artemis_p,dm_Artemis_r,dm_Artemis_f1,dm_Artemis_f2,dm_pipeline_p,dm_pipeline_r,dm_pipeline_f1,dm_pipeline_f2,dc_approach_p,dc_approach_r,dc_approach_f1,dc_approach_f2,dc_Artemis_p,dc_Artemis_r,dc_Artemis_f1,dc_Artemis_f2,dc_pipeline_p,dc_pipeline_r,dc_pipeline_f1,dc_pipeline_f2
mediastore,0.9118,1.0000,0.9538,0.9810,0.9024,0.9677,0.9333,0.9535,0.9444,0.5484,0.6939,0.5986,0.8525,0.8814,0.8667,0.8754,0.9236,0.9322,0.9274,0.9302,0.9615,0.4237,0.5882,0.4771
teastore,1.0000,1.0000,1.0000,1.0000,0.5725,0.9753,0.7214,0.8549,1.0000,0.7407,0.8511,0.7812,1.0000,1.0000,1.0000,1.0000,0.5753,0.9821,0.7255,0.8604,1.0000,0.7086,0.8295,0.7525
teammates,0.8051,0.9415,0.8679,0.9106,0.9205,0.6433,0.7554,0.6836,0.6049,0.8596,0.7101,0.7929,0.7984,0.7440,0.7702,0.7543,0.9260,0.6097,0.7309,0.6524,0.7531,0.9024,0.8211,0.8680
bigbluebutton,0.8743,0.8978,0.8859,0.8930,0.8031,0.6989,0.7474,0.7175,0.8980,0.7097,0.7928,0.7407,0.6798,0.9252,0.7837,0.8629,0.7020,0.8483,0.7641,0.8112,0.8203,0.8417,0.8309,0.8373
jabref,0.9491,1.0000,0.9734,0.9891,0.8275,0.9630,0.8892,0.9317,0.9000,1.0000,0.9474,0.9783,0.9469,1.0000,0.9719,0.9883,0.8494,0.9985,0.9158,0.9631,0.8927,1.0000,0.9433,0.9765
Average,0.9081,0.9679,0.9362,0.9548,0.8052,0.8496,0.8093,0.8282,0.8695,0.7717,0.7990,0.7783,0.8555,0.9101,0.8785,0.8962,0.7953,0.8742,0.8127,0.8435,0.8855,0.7753,0.8026,0.7823
