project,approach_input_k,approach_output_k,Artemis_input_k,Artemis_output_k
mediastore,9.923333,2.120333,2.636000,2.782333
teastore,11.368000,3.472000,2.892333,3.516000
teammates,43.835333,7.699667,7.670000,8.567667
bigbluebutton,27.406333,7.331667,4.833000,6.052000
jabref,6.029000,2.067333,2.003000,2.450000
Total,98.562000,22.691000,20.034333,23.368000
