backend,variant,doc_to_model_macro_f1,doc_to_model_macro_f2,dc_file_precision,dc_file_recall,dc_file_f1,dc_file_f2,dc_worst_component_f1,dc_worst_component_f2,dc_harmonic_component_f1,dc_harmonic_component_f2
terra,Full,0.939127,0.953324,0.866111,0.907749,0.883151,0.896786,0.776915,0.781348,0.909767,0.908819
terra,FullName,0.875593,0.850917,0.897444,0.806140,0.846922,0.821515,0.691651,0.625457,0.861118,0.819672
terra,PartialName,0.064198,0.048689,0.053722,0.021714,0.030927,0.024651,0.000000,0.000000,0.000000,0.000000
terra,Coref,0.311033,0.224514,0.982360,0.199838,0.323901,0.235762,0.000000,0.000000,0.000000,0.000000
terra,No knowledge,0.873261,0.839808,0.921342,0.710007,0.774206,0.729795,0.454309,0.423936,0.523112,0.511164
luna,Full,0.897249,0.931044,0.834646,0.908586,0.868024,0.891326,0.664413,0.770069,0.884796,0.910624
luna,FullName,0.857753,0.851848,0.851000,0.819904,0.829488,0.822493,0.661795,0.630836,0.850139,0.831163
luna,PartialName,0.023617,0.016013,0.064000,0.006175,0.011002,0.007489,0.000000,0.000000,0.000000,0.000000
luna,Coref,0.373680,0.294178,0.693618,0.210070,0.315503,0.242131,0.093237,0.065609,0.169739,0.132403
luna,No knowledge,0.852542,0.819089,0.951645,0.712682,0.789483,0.738100,0.428571,0.427374,0.522272,0.515131
