project,full_f1,full_f2,floor_f1,floor_f2,d_f1
mediastore,0.9248,0.9372,0.9609,0.9388,3.6
teastore,0.9811,0.9701,0.7234,0.8673,-25.8
teammates,0.8626,0.895,0.7826,0.8216,-8.0
bigbluebutton,0.8857,0.924,0.7529,0.7021,-13.3
jabref,0.991,0.9963,1.0,1.0,0.9
Average,0.929,0.9446,0.8439,0.866,-8.5
