left_project,system,left_dm_link_f1,left_dm_link_f2,left_dm_cmr,left_dc_file_f1,left_dc_file_f2,left_dc_worst_f1,left_dc_worst_f2,left_dc_harm_f1,left_dc_harm_f2,right_project,right_dm_link_f1,right_dm_link_f2,right_dm_cmr,right_dc_file_f1,right_dc_file_f2,right_dc_worst_f1,right_dc_worst_f2,right_dc_harm_f1,right_dc_harm_f2
mediastore,approach,0.9464,0.9525,3.2258,0.8837,0.8752,0.7685,0.7561,0.9627,0.9586,bigbluebutton,0.8859,0.8930,0.0000,0.7837,0.8629,0.4444,0.5556,0.8076,0.8287
mediastore,Artemis,0.9333,0.9535,0.0000,0.9274,0.9302,0.7521,0.8497,0.9564,0.9713,bigbluebutton,0.7474,0.7175,1.0753,0.7641,0.8112,0.2222,0.1852,0.4451,0.4457
mediastore,TransArC,0.6939,0.5986,35.4839,0.5882,0.4771,0.0000,0.0000,0.0000,0.0000,bigbluebutton,0.7928,0.7407,0.0000,0.8309,0.8373,0.5714,0.4545,0.8377,0.8029
teastore,approach,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,jabref,0.9734,0.9891,0.0000,0.9719,0.9883,0.9373,0.9734,0.9842,0.9936
teastore,Artemis,0.7214,0.8549,0.0000,0.7255,0.8604,0.4286,0.6522,0.6663,0.8240,jabref,0.8892,0.9317,3.7037,0.9158,0.9631,0.5333,0.6061,0.6103,0.6427
teastore,TransArC,0.8511,0.7812,0.0000,0.8295,0.7525,0.6667,0.5556,0.8421,0.7692,jabref,0.9474,0.9783,0.0000,0.9433,0.9765,0.8000,0.9091,0.9412,0.9756
teammates,approach,0.8679,0.9106,0.0000,0.7702,0.7543,0.7160,0.6117,0.8013,0.7829,Average,0.9347,0.9491,0.6452,0.8819,0.8961,0.7732,0.7794,0.9112,0.9128
teammates,Artemis,0.7554,0.6836,11.6959,0.7309,0.6524,0.4057,0.3285,0.4953,0.4375,Average,0.8093,0.8282,3.2950,0.8127,0.8435,0.4684,0.5243,0.6347,0.6642
teammates,TransArC,0.7101,0.7929,0.0000,0.8211,0.8680,0.5366,0.6548,0.7570,0.8156,Average,0.7990,0.7783,7.0968,0.8026,0.7823,0.5149,0.5148,0.6756,0.6727
