judges,kn_dm_p,kn_dm_r,kn_dm_f1,kn_dm_f2,kn_cmr,kn_dc_p,kn_dc_r,kn_dc_f1,kn_dc_f2,nk_dm_p,nk_dm_r,nk_dm_f1,nk_dm_f2,nk_cmr,nk_dc_p,nk_dc_r,nk_dc_f1,nk_dc_f2
both,0.913165,0.959272,0.934737,0.949061,0.645161,0.864998,0.907860,0.881905,0.896149,0.953372,0.809644,0.867590,0.830423,10.800478,0.924507,0.706813,0.773400,0.727581
none,0.667940,0.997849,0.784290,0.891429,0.000000,0.710575,0.957727,0.803694,0.884603,0.700650,0.957547,0.784244,0.868413,0.645161,0.742784,0.902225,0.784933,0.841584
