task,system,config,backend,knowledge,run,project,n_links,P,R,F1,src,sha
doc-code,aalinker-composed,luna_s110ctl,gpt-5.6-luna,full,run1,mediastore,61,,,,model-doc/aalinker/luna_s110ctl/run1/mediastore.csv o model-code/arcotl/mediastore.csv,
doc-code,aalinker-composed,luna_s110ctl,gpt-5.6-luna,full,run1,teastore,685,,,,model-doc/aalinker/luna_s110ctl/run1/teastore.csv o model-code/arcotl/teastore.csv,
doc-code,aalinker-composed,luna_s110ctl,gpt-5.6-luna,full,run1,teammates,8750,,,,model-doc/aalinker/luna_s110ctl/run1/teammates.csv o model-code/arcotl/teammates.csv,
doc-code,aalinker-composed,luna_s110ctl,gpt-5.6-luna,full,run1,bigbluebutton,2083,,,,model-doc/aalinker/luna_s110ctl/run1/bigbluebutton.csv o model-code/arcotl/bigbluebutton.csv,
doc-code,aalinker-composed,luna_s110ctl,gpt-5.6-luna,full,run1,jabref,8540,,,,model-doc/aalinker/luna_s110ctl/run1/jabref.csv o model-code/arcotl/jabref.csv,
doc-code,aalinker-composed,luna_s110ctl,gpt-5.6-luna,full,run2,mediastore,58,,,,model-doc/aalinker/luna_s110ctl/run2/mediastore.csv o model-code/arcotl/mediastore.csv,
doc-code,aalinker-composed,luna_s110ctl,gpt-5.6-luna,full,run2,teastore,679,,,,model-doc/aalinker/luna_s110ctl/run2/teastore.csv o model-code/arcotl/teastore.csv,
doc-code,aalinker-composed,luna_s110ctl,gpt-5.6-luna,full,run2,teammates,9034,,,,model-doc/aalinker/luna_s110ctl/run2/teammates.csv o model-code/arcotl/teammates.csv,
doc-code,aalinker-composed,luna_s110ctl,gpt-5.6-luna,full,run2,bigbluebutton,1986,,,,model-doc/aalinker/luna_s110ctl/run2/bigbluebutton.csv o model-code/arcotl/bigbluebutton.csv,
doc-code,aalinker-composed,luna_s110ctl,gpt-5.6-luna,full,run2,jabref,8290,,,,model-doc/aalinker/luna_s110ctl/run2/jabref.csv o model-code/arcotl/jabref.csv,
doc-code,aalinker-composed,luna_s110ctl,gpt-5.6-luna,full,run3,mediastore,57,,,,model-doc/aalinker/luna_s110ctl/run3/mediastore.csv o model-code/arcotl/mediastore.csv,
doc-code,aalinker-composed,luna_s110ctl,gpt-5.6-luna,full,run3,teastore,711,,,,model-doc/aalinker/luna_s110ctl/run3/teastore.csv o model-code/arcotl/teastore.csv,
doc-code,aalinker-composed,luna_s110ctl,gpt-5.6-luna,full,run3,teammates,10380,,,,model-doc/aalinker/luna_s110ctl/run3/teammates.csv o model-code/arcotl/teammates.csv,
doc-code,aalinker-composed,luna_s110ctl,gpt-5.6-luna,full,run3,bigbluebutton,2023,,,,model-doc/aalinker/luna_s110ctl/run3/bigbluebutton.csv o model-code/arcotl/bigbluebutton.csv,
doc-code,aalinker-composed,luna_s110ctl,gpt-5.6-luna,full,run3,jabref,8290,,,,model-doc/aalinker/luna_s110ctl/run3/jabref.csv o model-code/arcotl/jabref.csv,
