backend,run,linker_set,macro_f1,macro_f2
terra,run1,full_name_only,0.784417,0.712244
terra,run1,partial_name_only,0.100680,0.078328
terra,run1,coref_only,0.251349,0.177418
terra,run1,full,0.874275,0.845183
terra,run2,full_name_only,0.784417,0.712244
terra,run2,partial_name_only,0.088372,0.069853
terra,run2,coref_only,0.251502,0.179139
terra,run2,full,0.861629,0.837733
terra,run3,full_name_only,0.778713,0.705892
terra,run3,partial_name_only,0.081667,0.061218
terra,run3,coref_only,0.236836,0.166780
terra,run3,full,0.852566,0.826447
terra,average,full_name_only,0.782516,0.710127
terra,average,partial_name_only,0.090240,0.069799
terra,average,coref_only,0.246562,0.174446
terra,average,full,0.862824,0.836454
