backend,run,validator,rejected_tp,unique_rejected_tp,rejected_fp,kept_tp,kept_fp
terra,run1,full_name,7,7,35,126,4
terra,run1,partial_name,7,6,59,21,11
terra,run1,coref,37,7,34,32,2
terra,run1,all_combined,45,14,119,164,17
terra,run2,full_name,7,5,35,126,4
terra,run2,partial_name,9,8,51,19,19
terra,run2,coref,41,6,43,31,2
terra,run2,all_combined,53,15,115,163,25
terra,run3,full_name,9,9,35,124,4
terra,run3,partial_name,12,8,53,16,17
terra,run3,coref,49,11,51,28,2
terra,run3,all_combined,61,19,124,159,23
terra,average,full_name,7.67,7,35,125.33,4
terra,average,partial_name,9.33,7.33,54.33,18.67,15.67
terra,average,coref,42.33,8,42.67,30.33,2
terra,average,all_combined,53,16,119.33,162,21.67
