backend,run,linker,tps_caught,unique_tps,fps,delta_f1_if_removed
terra,run1,FullName,126,116,4,+0.572413
terra,run1,PartialName,21,16,11,+0.015931
terra,run1,Coref,32,17,2,+0.058223
terra,run1,overlap:only_full_name,116,,,
terra,run1,overlap:only_partial_name,16,,,
terra,run1,overlap:only_coref,17,,,
terra,run1,overlap:shared,15,,,
terra,run2,FullName,126,117,4,+0.563588
terra,run2,PartialName,19,15,19,+0.004152
terra,run2,Coref,31,18,2,+0.060688
terra,run2,overlap:only_full_name,117,,,
terra,run2,overlap:only_partial_name,15,,,
terra,run2,overlap:only_coref,18,,,
terra,run2,overlap:shared,13,,,
terra,run3,FullName,124,117,4,+0.568644
terra,run3,PartialName,16,14,17,+0.004769
terra,run3,Coref,28,19,2,+0.059359
terra,run3,overlap:only_full_name,117,,,
terra,run3,overlap:only_partial_name,14,,,
terra,run3,overlap:only_coref,19,,,
terra,run3,overlap:shared,9,,,
terra,average,FullName,125.33,116.67,4,+0.568215
terra,average,PartialName,18.67,15,15.67,+0.008284
terra,average,Coref,30.33,18,2,+0.059423
terra,average,overlap:only_full_name,116.67,,,
terra,average,overlap:only_partial_name,15,,,
terra,average,overlap:only_coref,18,,,
terra,average,overlap:shared,12.33,,,
