backend,run,variant,macro_f1,macro_f2
terra,run1,Full,0.874275,0.845183
terra,run1,NoFullNameValid,0.843465,0.845850
terra,run1,NoPartialNameValid,0.815872,0.828089
terra,run1,NoCitation,0.825927,0.843725
terra,run1,NoValidator,0.760208,0.818143
terra,run2,Full,0.861629,0.837733
terra,run2,NoFullNameValid,0.831356,0.834087
terra,run2,NoPartialNameValid,0.817612,0.830743
terra,run2,NoCitation,0.802071,0.828632
terra,run2,NoValidator,0.753889,0.815429
terra,run3,Full,0.852566,0.826447
terra,run3,NoFullNameValid,0.827871,0.832687
terra,run3,NoPartialNameValid,0.806469,0.819023
terra,run3,NoCitation,0.791610,0.825573
terra,run3,NoValidator,0.743312,0.809797
terra,average,Full,0.862824,0.836454
terra,average,NoFullNameValid,0.834231,0.837541
terra,average,NoPartialNameValid,0.813318,0.825952
terra,average,NoCitation,0.806536,0.832644
terra,average,NoValidator,0.752470,0.814456
