variant,project,tp,fp,fn,f1,f2
Full,teammates,50,5,7,0.892857,0.883392
NoNameValid,teammates,57,77,0,0.596859,0.787293
NoCitation,teammates,54,34,3,0.744828,0.854430
NoValidator,teammates,57,95,0,0.545455,0.750000
