backend,run,linker_set,macro_f1,macro_f2
terra,run1,full_name_only,0.850212,0.822341
terra,run1,partial_name_only,0.104706,0.079408
terra,run1,coref_only,0.307377,0.225315
terra,run1,full,0.936549,0.953579
terra,run2,full_name_only,0.868751,0.839997
terra,run2,partial_name_only,0.080952,0.062963
terra,run2,coref_only,0.274571,0.198761
terra,run2,full,0.940435,0.955023
terra,run3,full_name_only,0.865100,0.834584
terra,run3,partial_name_only,0.100571,0.078386
terra,run3,coref_only,0.295915,0.217611
terra,run3,full,0.938585,0.956552
terra,average,full_name_only,0.861354,0.832307
terra,average,partial_name_only,0.095410,0.073585
terra,average,coref_only,0.292621,0.213895
terra,average,full,0.938523,0.955052
luna,run1,full_name_only,0.858352,0.865719
luna,run1,partial_name_only,0.033333,0.023256
luna,run1,coref_only,0.235336,0.169816
luna,run1,full,0.885644,0.938528
luna,run2,full_name_only,0.845616,0.844047
luna,run2,partial_name_only,0.078049,0.059701
luna,run2,coref_only,0.358336,0.269205
luna,run2,full,0.906934,0.950308
luna,run3,full_name_only,0.836279,0.843812
luna,run3,partial_name_only,0.058667,0.042146
luna,run3,coref_only,0.380388,0.288319
luna,run3,full,0.884419,0.934772
luna,average,full_name_only,0.846749,0.851193
luna,average,partial_name_only,0.056683,0.041701
luna,average,coref_only,0.324687,0.242446
luna,average,full,0.892332,0.941203
