backend,run,variant,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_file_f2,doc_to_code_component_micro_f1,doc_to_code_component_micro_f2,doc_to_code_worst_component_f1,doc_to_code_worst_component_f2,doc_to_code_harmonic_component_f1,doc_to_code_harmonic_component_f2,delta_doc_to_code_file_f1_vs_full,delta_doc_to_code_file_f2_vs_full,delta_doc_to_code_worst_component_f1_vs_full,delta_doc_to_code_worst_component_f2_vs_full,delta_doc_to_code_harmonic_component_f1_vs_full,delta_doc_to_code_harmonic_component_f2_vs_full
luna,run3,NoValidator,0.600555,0.956900,0.729391,0.847371,0.733194,0.842813,0.465548,0.640843,0.693614,0.833959,-0.159985,-0.073765,-0.312450,-0.199637,-0.223964,-0.112371
luna,average,Full,0.846989,0.940479,0.889650,0.919013,0.901109,0.908141,0.785496,0.820990,0.919937,0.944485,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
luna,average,NoCitation,0.642688,0.946932,0.758903,0.858984,0.781710,0.860566,0.589454,0.743159,0.779981,0.881406,-0.130747,-0.060029,-0.196042,-0.077832,-0.139956,-0.063079
luna,average,NoFullNameValid,0.809202,0.948440,0.870795,0.914978,0.887794,0.907529,0.726373,0.811803,0.901716,0.940867,-0.018855,-0.004035,-0.059123,-0.009188,-0.018221,-0.003618
luna,average,NoPartialNameValid,0.798035,0.945362,0.857708,0.905467,0.864216,0.899734,0.607539,0.711621,0.833028,0.901214,-0.031942,-0.013546,-0.177957,-0.109370,-0.086909,-0.043271
luna,average,NoValidator,0.607014,0.956949,0.731587,0.847210,0.748680,0.851617,0.485670,0.652686,0.710046,0.842140,-0.158062,-0.071803,-0.299826,-0.168305,-0.209891,-0.102344
terra,average,Full,0.904455,0.912079,0.906065,0.909138,0.897232,0.887839,0.805862,0.768700,0.927866,0.925164,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
terra,average,NoCitation,0.782966,0.924584,0.844826,0.889919,0.833298,0.870240,0.699711,0.745449,0.857061,0.903235,-0.061240,-0.019219,-0.106151,-0.023251,-0.070805,-0.021929
terra,average,NoFullNameValid,0.823107,0.945102,0.877663,0.916214,0.895830,0.913084,0.723457,0.780496,0.897900,0.933782,-0.028402,+0.007076,-0.082405,+0.011795,-0.029965,+0.008618
terra,average,NoPartialNameValid,0.844957,0.914277,0.868668,0.892160,0.860641,0.875261,0.635418,0.711412,0.844564,0.890280,-0.037397,-0.016978,-0.170444,-0.057288,-0.083303,-0.034884
terra,average,NoValidator,0.697724,0.956850,0.796430,0.881145,0.801347,0.875886,0.543282,0.692245,0.767496,0.873232,-0.109635,-0.027994,-0.262580,-0.076455,-0.160371,-0.051931
