variant,project,tp,fp,fn,f1,f2
Full,teammates,57,29,0,0.797203,0.907643
NoFullNameValid,teammates,57,49,0,0.699387,0.853293
NoPartialNameValid,teammates,57,58,0,0.662791,0.830904
NoCitation,teammates,57,85,0,0.572864,0.770270
NoValidator,teammates,57,129,0,0.469136,0.688406
