variant,project,tp,fp,fn,f1,f2
Full,teammates,51,25,6,0.766917,0.838816
NoFullNameValid,teammates,54,56,3,0.646707,0.798817
NoPartialNameValid,teammates,54,46,3,0.687898,0.823171
NoCitation,teammates,54,53,3,0.658537,0.805970
NoValidator,teammates,57,103,0,0.525346,0.734536
