variant,tp,fp,fn,precision,recall,f1
Full,26,0,1,1.000000,0.962963,0.981132
NoEntityValid,26,2,1,0.928571,0.962963,0.945455
NoCitation,27,1,0,0.964286,1.000000,0.981818
NoValidator,27,3,0,0.900000,1.000000,0.947368
