variant,project,tp,fp,fn,f1,f2
Full,teastore,26,0,1,0.981132,0.970149
NoFullNameValid,teastore,26,4,1,0.912281,0.942029
NoPartialNameValid,teastore,26,0,1,0.981132,0.970149
NoCitation,teastore,27,5,0,0.915254,0.964286
NoValidator,teastore,27,9,0,0.857143,0.937500
