variant,project,tp,fp,fn,f1,f2
Full,teammates,52,17,5,0.825397,0.875421
NoFullNameValid,teammates,54,49,3,0.675000,0.815710
NoPartialNameValid,teammates,55,45,2,0.700637,0.838415
NoCitation,teammates,53,52,4,0.654321,0.795796
NoValidator,teammates,57,109,0,0.511211,0.723350
