backend,run,linker_set,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_file_f2,doc_to_code_component_micro_f1,doc_to_code_component_micro_f2,doc_to_code_worst_component_f1,doc_to_code_worst_component_f2,doc_to_code_harmonic_component_f1,doc_to_code_harmonic_component_f2,delta_doc_to_code_file_f1_vs_full,delta_doc_to_code_file_f2_vs_full,delta_doc_to_code_worst_component_f1_vs_full,delta_doc_to_code_worst_component_f2_vs_full,delta_doc_to_code_harmonic_component_f1_vs_full,delta_doc_to_code_harmonic_component_f2_vs_full
terra,run1,Full,0.952308,0.745841,0.818816,0.770530,0.825675,0.784558,0.449865,0.469433,0.653949,0.638445,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
terra,run1,FullNameOnly,0.967567,0.629543,0.727411,0.661929,0.740236,0.660905,0.349595,0.335654,0.473371,0.442484,-0.091405,-0.108601,-0.100269,-0.133779,-0.180579,-0.195960
terra,run1,PartialNameOnly,0.115601,0.029562,0.047083,0.034732,0.085470,0.070621,0.000000,0.000000,0.000000,0.000000,-0.771732,-0.735799,-0.449865,-0.469433,-0.653949,-0.638445
terra,run1,CorefOnly,0.977245,0.185623,0.304972,0.219893,0.265483,0.190768,0.040134,0.027125,0.072208,0.052408,-0.513844,-0.550637,-0.409731,-0.442309,-0.581741,-0.586037
terra,run2,Full,0.941315,0.752953,0.817128,0.774135,0.824184,0.792988,0.376232,0.461370,0.626982,0.634987,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
terra,run2,FullNameOnly,0.967801,0.633259,0.729792,0.665183,0.744051,0.665152,0.349595,0.335654,0.476449,0.446088,-0.087335,-0.108951,-0.026636,-0.125716,-0.150533,-0.188899
terra,run2,PartialNameOnly,0.109771,0.034532,0.052537,0.040018,0.095238,0.082645,0.000000,0.000000,0.000000,0.000000,-0.764590,-0.734116,-0.376232,-0.461370,-0.626982,-0.634987
terra,run2,CorefOnly,0.779744,0.170625,0.275129,0.201090,0.251984,0.181624,0.000000,0.000000,0.000000,0.000000,-0.541998,-0.573045,-0.376232,-0.461370,-0.626982,-0.634987
terra,run3,Full,0.947562,0.729792,0.802627,0.753844,0.814633,0.769987,0.440000,0.469433,0.638049,0.624082,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
terra,run3,FullNameOnly,0.967546,0.626540,0.725272,0.659177,0.736621,0.657691,0.335786,0.320128,0.470176,0.437907,-0.077355,-0.094667,-0.104214,-0.149306,-0.167873,-0.186175
terra,run3,PartialNameOnly,0.110251,0.031655,0.049187,0.036918,0.089256,0.075419,0.000000,0.000000,0.000000,0.000000,-0.753440,-0.716925,-0.440000,-0.469433,-0.638049,-0.624082
terra,run3,CorefOnly,0.980720,0.187636,0.306548,0.221847,0.256044,0.180810,0.000000,0.000000,0.000000,0.000000,-0.496079,-0.531997,-0.440000,-0.469433,-0.638049,-0.624082
terra,average,CorefOnly,0.912570,0.181295,0.295550,0.214277,0.257837,0.184401,0.013378,0.009042,0.024069,0.017469,-0.517307,-0.551893,-0.408654,-0.457704,-0.615591,-0.615035
terra,average,Full,0.947062,0.742862,0.812857,0.766170,0.821497,0.782511,0.422032,0.466745,0.639660,0.632505,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
terra,average,FullNameOnly,0.967638,0.629781,0.727492,0.662096,0.740303,0.661249,0.344992,0.330479,0.473332,0.442160,-0.085365,-0.104073,-0.077040,-0.136267,-0.166328,-0.190345
terra,average,PartialNameOnly,0.111874,0.031916,0.049602,0.037223,0.089988,0.076228,0.000000,0.000000,0.000000,0.000000,-0.763254,-0.728947,-0.422032,-0.466745,-0.639660,-0.632505
