backend,run,variant,macro_f1,macro_f2
terra,run1,Full,0.867407,0.843788
terra,run1,NoFullNameValid,0.837214,0.845793
terra,run1,NoPartialNameValid,0.806002,0.832235
terra,run1,NoCitation,0.820081,0.866836
terra,run1,NoValidator,0.770859,0.858133
terra,run2,Full,0.847488,0.844264
terra,run2,NoFullNameValid,0.824613,0.843102
terra,run2,NoPartialNameValid,0.811916,0.837905
terra,run2,NoCitation,0.812011,0.861612
terra,run2,NoValidator,0.773046,0.847009
terra,run3,Full,0.839274,0.818423
terra,run3,NoFullNameValid,0.821744,0.828916
terra,run3,NoPartialNameValid,0.794424,0.813933
terra,run3,NoCitation,0.807910,0.866366
terra,run3,NoValidator,0.763028,0.854260
terra,average,Full,0.851390,0.835492
terra,average,NoFullNameValid,0.827857,0.839270
terra,average,NoPartialNameValid,0.804114,0.828024
terra,average,NoCitation,0.813334,0.864938
terra,average,NoValidator,0.768978,0.853134
