variant,project,tp,fp,fn,f1,f2
Full,bigbluebutton,60,15,2,0.875912,0.928793
NoNameValid,bigbluebutton,62,35,0,0.779874,0.898551
NoCitation,bigbluebutton,61,36,1,0.767296,0.884058
NoValidator,bigbluebutton,62,54,0,0.696629,0.851648
