backend,run,linker,tps_caught,unique_tps,fps,delta_f1_if_removed
terra,run1,FullName,147,126,21,+0.567551
terra,run1,PartialName,21,18,5,+0.028144
terra,run1,Coref,42,18,1,+0.049036
terra,run1,overlap:only_full_name,126,,,
terra,run1,overlap:only_partial_name,18,,,
terra,run1,overlap:only_coref,18,,,
terra,run1,overlap:shared,24,,,
terra,run2,FullName,152,138,16,+0.617205
terra,run2,PartialName,17,13,6,+0.015820
terra,run2,Coref,35,17,2,+0.045950
terra,run2,overlap:only_full_name,138,,,
terra,run2,overlap:only_partial_name,13,,,
terra,run2,overlap:only_coref,17,,,
terra,run2,overlap:shared,18,,,
terra,run3,FullName,150,129,15,+0.582440
terra,run3,PartialName,21,18,10,+0.021244
terra,run3,Coref,40,16,2,+0.043274
terra,run3,overlap:only_full_name,129,,,
terra,run3,overlap:only_partial_name,18,,,
terra,run3,overlap:only_coref,16,,,
terra,run3,overlap:shared,24,,,
terra,average,FullName,149.67,131,17.33,+0.589065
terra,average,PartialName,19.67,16.33,7,+0.021736
terra,average,Coref,39,17,1.67,+0.046087
terra,average,overlap:only_full_name,131,,,
terra,average,overlap:only_partial_name,16.33,,,
terra,average,overlap:only_coref,17,,,
terra,average,overlap:shared,22,,,
luna,run1,FullName,167,155,40,+0.633702
luna,run1,PartialName,6,6,16,-0.007541
luna,run1,Coref,28,16,5,+0.034215
luna,run1,overlap:only_full_name,155,,,
luna,run1,overlap:only_partial_name,6,,,
luna,run1,overlap:only_coref,16,,,
luna,run1,overlap:shared,12,,,
luna,run2,FullName,159,130,38,+0.509683
luna,run2,PartialName,16,15,15,+0.011022
luna,run2,Coref,47,17,3,+0.046655
luna,run2,overlap:only_full_name,130,,,
luna,run2,overlap:only_partial_name,15,,,
luna,run2,overlap:only_coref,17,,,
luna,run2,overlap:shared,30,,,
luna,run3,FullName,161,130,46,+0.470809
luna,run3,PartialName,11,11,13,+0.008340
luna,run3,Coref,47,16,4,+0.038734
luna,run3,overlap:only_full_name,130,,,
luna,run3,overlap:only_partial_name,11,,,
luna,run3,overlap:only_coref,16,,,
luna,run3,overlap:shared,31,,,
luna,average,FullName,162.33,138.33,41.33,+0.538064
luna,average,PartialName,11,10.67,14.67,+0.003940
luna,average,Coref,40.67,16.33,4,+0.039868
luna,average,overlap:only_full_name,138.33,,,
luna,average,overlap:only_partial_name,10.67,,,
luna,average,overlap:only_coref,16.33,,,
luna,average,overlap:shared,24.33,,,
