backend,run,validator,rejected_tp,unique_rejected_tp,rejected_fp,kept_tp,kept_fp
terra,run1,full_name,7,3,40,147,21
terra,run1,partial_name,5,5,50,21,5
terra,run1,coref,30,4,56,42,1
terra,run1,all_combined,39,9,138,186,27
terra,run2,full_name,7,4,52,152,16
terra,run2,partial_name,4,4,49,17,6
terra,run2,coref,32,6,50,35,2
terra,run2,all_combined,38,9,148,186,24
terra,run3,full_name,4,3,52,150,15
terra,run3,partial_name,5,4,45,21,10
terra,run3,coref,39,4,52,40,2
terra,run3,all_combined,45,8,145,187,27
terra,average,full_name,6,3.33,48,149.67,17.33
terra,average,partial_name,4.67,4.33,48,19.67,7
terra,average,coref,33.67,4.67,52.67,39,1.67
terra,average,all_combined,40.67,8.67,143.67,186.33,26
luna,run1,full_name,2,2,21,167,40
luna,run1,partial_name,5,4,53,6,16
luna,run1,coref,55,3,102,28,5
luna,run1,all_combined,59,6,173,189,60
luna,run2,full_name,2,0,15,159,38
luna,run2,partial_name,3,2,53,16,15
luna,run2,coref,44,1,106,47,3
luna,run2,all_combined,49,3,165,192,53
luna,run3,full_name,0,0,12,161,46
luna,run3,partial_name,8,7,55,11,13
luna,run3,coref,48,5,91,47,4
luna,run3,all_combined,51,7,154,188,61
luna,average,full_name,1.33,0.67,16,162.33,41.33
luna,average,partial_name,5.33,4.33,53.67,11,14.67
luna,average,coref,49,3,99.67,40.67,4
luna,average,all_combined,53,5.33,164,189.67,58
