variant,project,tp,fp,fn,f1,f2
Full,mediastore,20,0,11,0.784314,0.694444
NoFullNameValid,mediastore,20,0,11,0.784314,0.694444
NoPartialNameValid,mediastore,20,0,11,0.784314,0.694444
NoCitation,mediastore,23,1,8,0.836364,0.777027
NoValidator,mediastore,23,1,8,0.836364,0.777027
