project,cases,preserving_bytes,swapped_bytes,evidence_gaps
mediastore,31,13486,11487,0
teastore,25,11234,9180,0
teammates,130,63582,42039,0
bigbluebutton,90,48741,31942,0
jabref,20,11183,8255,0
TOTAL,296,148226,102903,0
