naming,case_shape,gate,cases,gold,base_rate,kept_per_run,tp_per_run,fp_per_run
alias,capitalized,lenient,39,19,0.487,24.5,19.0,5.5
alias,lowercase,lenient,4,2,0.5,2.5,1.5,1.0
whole name,capitalized,lenient,101,99,0.98,100.7,99.0,1.7
whole name,lowercase,lenient,71,34,0.479,44.5,30.7,13.8
word only,capitalized,target-blind,9,4,0.444,7.2,3.8,3.3
word only,lowercase,target-blind,72,22,0.306,12.8,11.0,1.8
