variant,project,tp,fp,fn,f1,f2
Full,teastore,20,0,7,0.851064,0.781250
NoNameValid,teastore,20,0,7,0.851064,0.781250
NoCitation,teastore,21,3,6,0.823529,0.795455
NoValidator,teastore,21,3,6,0.823529,0.795455
