backend,run,variant,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_file_f2,doc_to_code_component_micro_f1,doc_to_code_worst_component_f1,doc_to_code_harmonic_component_f1,doc_to_code_sentence_coverage,doc_to_code_noise_rate,delta_doc_to_code_file_f1_vs_full,delta_doc_to_code_file_f2_vs_full,delta_doc_to_code_worst_component_f1_vs_full,delta_doc_to_code_harmonic_component_f1_vs_full,delta_doc_to_code_sentence_coverage_vs_full,delta_doc_to_code_noise_rate_vs_full
terra,run1,Full,0.914081,0.914307,0.911398,0.912496,0.884206,0.705658,0.864209,0.880242,0.121018,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
terra,run1,NoFullNameValid,0.851571,0.948542,0.895596,0.926100,0.905010,0.718992,0.881392,0.921546,0.157249,-0.015801,+0.013603,+0.013333,+0.017183,+0.041304,+0.036231
terra,run1,NoPartialNameValid,0.856082,0.920062,0.875601,0.897857,0.852310,0.633478,0.810927,0.889130,0.191899,-0.035797,-0.014639,-0.072180,-0.053282,+0.008889,+0.070881
terra,run1,NoCitation,0.756619,0.930757,0.827476,0.884077,0.816164,0.705658,0.823448,0.908696,0.266958,-0.083922,-0.028419,+0.000000,-0.040761,+0.028454,+0.145940
terra,run1,NoValidator,0.704398,0.959138,0.794633,0.878713,0.806613,0.632398,0.789154,0.943478,0.323186,-0.116765,-0.033783,-0.073260,-0.075055,+0.063237,+0.202168
terra,run2,Full,0.889083,0.914116,0.900228,0.908193,0.892086,0.705658,0.878044,0.880145,0.103290,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
terra,run2,NoFullNameValid,0.835271,0.946498,0.884156,0.919524,0.907834,0.743754,0.897216,0.919275,0.152490,-0.016072,+0.011331,+0.038095,+0.019172,+0.039130,+0.049200
terra,run2,NoPartialNameValid,0.832328,0.921964,0.865647,0.895222,0.855153,0.633478,0.812878,0.893478,0.199697,-0.034581,-0.012971,-0.072180,-0.065166,+0.013333,+0.096407
terra,run2,NoCitation,0.717677,0.932610,0.801450,0.872055,0.808652,0.691113,0.826139,0.910870,0.282170,-0.098778,-0.036138,-0.014545,-0.051905,+0.030725,+0.178880
terra,run2,NoValidator,0.677578,0.959138,0.774707,0.867987,0.792237,0.617853,0.777703,0.943478,0.335979,-0.125521,-0.040206,-0.087806,-0.100341,+0.063333,+0.232689
terra,run3,Full,0.919980,0.915778,0.915274,0.914990,0.888352,0.705658,0.869693,0.882319,0.104535,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
terra,run3,NoFullNameValid,0.835108,0.949999,0.887730,0.923737,0.896306,0.688992,0.879431,0.923720,0.171562,-0.027544,+0.008747,-0.016667,+0.009738,+0.041401,+0.067027
terra,run3,NoPartialNameValid,0.858088,0.921533,0.877746,0.899749,0.852603,0.633478,0.810575,0.891208,0.186357,-0.037528,-0.015241,-0.072180,-0.059118,+0.008889,+0.081822
terra,run3,NoCitation,0.731246,0.928795,0.811012,0.875416,0.797424,0.657779,0.816456,0.904251,0.301092,-0.104262,-0.039574,-0.047879,-0.053236,+0.021932,+0.196557
terra,run3,NoValidator,0.666354,0.959138,0.772639,0.869212,0.776983,0.567853,0.766216,0.943478,0.365603,-0.142634,-0.045778,-0.137806,-0.103476,+0.061159,+0.261067
luna,run1,Full,0.843270,0.939633,0.883737,0.914902,0.882187,0.686524,0.874581,0.917295,0.176076,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
luna,run1,NoFullNameValid,0.790729,0.943758,0.856350,0.905401,0.863195,0.659468,0.859602,0.919469,0.219212,-0.027387,-0.009501,-0.027056,-0.014979,+0.002174,+0.043136
luna,run1,NoPartialNameValid,0.809995,0.944239,0.860379,0.904621,0.859431,0.615296,0.821054,0.923913,0.221613,-0.023359,-0.010280,-0.071228,-0.053527,+0.006618,+0.045536
luna,run1,NoCitation,0.654122,0.952393,0.764990,0.862633,0.770646,0.558020,0.762344,0.934686,0.377272,-0.118748,-0.052269,-0.128504,-0.112237,+0.017391,+0.201195
luna,run1,NoValidator,0.612347,0.956998,0.734466,0.847619,0.742261,0.472678,0.713747,0.941304,0.418990,-0.149272,-0.067283,-0.213846,-0.160834,+0.024010,+0.242914
luna,run2,Full,0.829580,0.942041,0.879586,0.915237,0.881151,0.738992,0.885428,0.917198,0.180578,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
luna,run2,NoFullNameValid,0.793528,0.947648,0.860340,0.909572,0.867559,0.691317,0.873244,0.921546,0.210225,-0.019245,-0.005665,-0.047674,-0.012185,+0.004348,+0.029647
luna,run2,NoPartialNameValid,0.788607,0.948739,0.851802,0.903871,0.853843,0.633478,0.819213,0.928261,0.239157,-0.027783,-0.011366,-0.105514,-0.066216,+0.011063,+0.058579
luna,run2,NoCitation,0.635542,0.946233,0.752843,0.854855,0.781873,0.564183,0.776077,0.934686,0.391722,-0.126743,-0.060381,-0.174809,-0.109352,+0.017488,+0.211144
luna,run2,NoValidator,0.603113,0.956026,0.727050,0.843160,0.753053,0.471502,0.713126,0.943478,0.429131,-0.152536,-0.072077,-0.267490,-0.172303,+0.026280,+0.248553
luna,run3,Full,0.847061,0.923658,0.881732,0.905841,0.876239,0.691373,0.861610,0.887459,0.151419,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
luna,run3,NoFullNameValid,0.800527,0.946135,0.864033,0.910465,0.877189,0.679468,0.873139,0.917894,0.194908,-0.017699,+0.004624,-0.011905,+0.011529,+0.030435,+0.043489
