backend,run,linker_set,macro_f1,macro_f2
terra,run1,full_name_only,0.859574,0.819500
terra,run1,partial_name_only,0.080899,0.065455
terra,run1,coref_only,0.215785,0.151224
terra,run1,full,0.907629,0.929868
terra,run2,full_name_only,0.853911,0.819577
terra,run2,partial_name_only,0.074321,0.054186
terra,run2,coref_only,0.251261,0.177649
terra,run2,full,0.920525,0.932478
terra,run3,full_name_only,0.854204,0.816138
terra,run3,partial_name_only,0.078161,0.062271
terra,run3,coref_only,0.315454,0.233347
terra,run3,full,0.912627,0.930747
terra,average,full_name_only,0.855896,0.818405
terra,average,partial_name_only,0.077794,0.060637
terra,average,coref_only,0.260833,0.187407
terra,average,full,0.913594,0.931031
luna,run1,full_name_only,0.837572,0.836207
luna,run1,partial_name_only,0.071287,0.062718
luna,run1,coref_only,0.425818,0.329905
luna,run1,full,0.868201,0.929805
luna,run2,full_name_only,0.855674,0.855748
luna,run2,partial_name_only,0.027586,0.021978
luna,run2,coref_only,0.435488,0.343894
luna,run2,full,0.865175,0.921264
luna,run3,full_name_only,0.857420,0.849277
luna,run3,partial_name_only,0.065727,0.054170
luna,run3,coref_only,0.306002,0.228278
luna,run3,full,0.904464,0.947831
luna,average,full_name_only,0.850222,0.847078
luna,average,partial_name_only,0.054867,0.046289
luna,average,coref_only,0.389103,0.300693
luna,average,full,0.879280,0.932967
