backend,run,linker_set,project,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_file_f2,doc_to_code_component_micro_f1,doc_to_code_worst_component_f1,doc_to_code_harmonic_component_f1,doc_to_code_sentence_coverage,doc_to_code_noise_rate
terra,run1,Full,mediastore,0.852459,0.881356,0.866667,0.875421,0.949153,0.823529,0.976744,1.000000,0.072000
terra,run1,FullNameOnly,mediastore,0.836364,0.779661,0.807018,0.790378,0.892857,0.750000,0.935065,0.880000,0.081818
terra,run1,PartialNameOnly,mediastore,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
terra,run1,CorefOnly,mediastore,1.000000,0.101695,0.184615,0.123967,0.193548,0.000000,0.000000,0.120000,0.000000
terra,run1,Full,teastore,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000
terra,run1,FullNameOnly,teastore,1.000000,0.708628,0.829470,0.752478,0.851064,0.666667,0.842105,0.695652,0.000000
terra,run1,PartialNameOnly,teastore,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
terra,run1,CorefOnly,teastore,1.000000,0.291372,0.451260,0.339486,0.411765,0.000000,0.000000,0.304348,0.000000
terra,run1,Full,teammates,0.927517,0.760158,0.835539,0.788617,0.582857,0.333333,0.542786,0.445652,0.257409
terra,run1,FullNameOnly,teammates,0.972172,0.729159,0.833310,0.767531,0.560510,0.333333,0.558034,0.391304,0.063380
terra,run1,PartialNameOnly,teammates,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
terra,run1,CorefOnly,teammates,0.871134,0.104360,0.186390,0.126656,0.165289,0.000000,0.000000,0.097826,0.154502
terra,run1,Full,bigbluebutton,0.793084,0.930020,0.856111,0.898976,0.911243,0.571429,0.841515,0.955556,0.272909
terra,run1,FullNameOnly,bigbluebutton,0.853472,0.803793,0.827888,0.813261,0.802920,0.571429,0.813459,0.733333,0.156690
terra,run1,PartialNameOnly,bigbluebutton,0.557377,0.133421,0.215303,0.157359,0.452174,0.000000,0.000000,0.288889,0.526234
terra,run1,CorefOnly,bigbluebutton,0.872093,0.049052,0.092879,0.060464,0.162791,0.000000,0.000000,0.111111,0.107738
terra,run1,Full,jabref,0.997346,1.000000,0.998671,0.999468,0.977778,0.800000,0.960000,1.000000,0.002773
terra,run1,FullNameOnly,jabref,0.997346,1.000000,0.998671,0.999468,0.977778,0.800000,0.960000,1.000000,0.002773
terra,run1,PartialNameOnly,jabref,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
terra,run1,CorefOnly,jabref,1.000000,0.117562,0.210390,0.142756,0.086957,0.000000,0.000000,0.100000,0.000000
terra,run2,Full,mediastore,0.852459,0.881356,0.866667,0.875421,0.949153,0.823529,0.976744,1.000000,0.072000
terra,run2,FullNameOnly,mediastore,0.836364,0.779661,0.807018,0.790378,0.892857,0.750000,0.935065,0.880000,0.081818
terra,run2,PartialNameOnly,mediastore,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
terra,run2,CorefOnly,mediastore,1.000000,0.101695,0.184615,0.123967,0.193548,0.000000,0.000000,0.120000,0.000000
terra,run2,Full,teastore,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000
terra,run2,FullNameOnly,teastore,1.000000,0.708628,0.829470,0.752478,0.851064,0.666667,0.842105,0.695652,0.000000
terra,run2,PartialNameOnly,teastore,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
terra,run2,CorefOnly,teastore,1.000000,0.291372,0.451260,0.339486,0.411765,0.000000,0.000000,0.304348,0.000000
terra,run2,Full,teammates,0.817526,0.769668,0.792875,0.778786,0.635294,0.333333,0.624535,0.467391,0.175323
terra,run2,FullNameOnly,teammates,0.825307,0.738669,0.779588,0.754510,0.576687,0.333333,0.578245,0.413043,0.169830
terra,run2,PartialNameOnly,teammates,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
terra,run2,CorefOnly,teammates,0.879923,0.113128,0.200482,0.137007,0.180328,0.000000,0.000000,0.108696,0.139052
terra,run2,Full,bigbluebutton,0.778085,0.919555,0.842926,0.887290,0.898204,0.571429,0.828940,0.933333,0.266353
terra,run2,FullNameOnly,bigbluebutton,0.853472,0.803793,0.827888,0.813261,0.802920,0.571429,0.813459,0.733333,0.156690
terra,run2,PartialNameOnly,bigbluebutton,0.555556,0.091563,0.157215,0.109925,0.339623,0.000000,0.000000,0.200000,0.558626
terra,run2,CorefOnly,bigbluebutton,0.450980,0.045128,0.082045,0.055033,0.139535,0.000000,0.000000,0.088889,0.307738
terra,run2,Full,jabref,0.997346,1.000000,0.998671,0.999468,0.977778,0.800000,0.960000,1.000000,0.002773
terra,run2,FullNameOnly,jabref,0.997346,1.000000,0.998671,0.999468,0.977778,0.800000,0.960000,1.000000,0.002773
terra,run2,PartialNameOnly,jabref,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
terra,run2,CorefOnly,jabref,0.999482,0.233309,0.378309,0.275556,0.307692,0.000000,0.000000,0.200000,0.000522
terra,run3,Full,mediastore,0.852459,0.881356,0.866667,0.875421,0.949153,0.823529,0.976744,1.000000,0.072000
terra,run3,FullNameOnly,mediastore,0.836364,0.779661,0.807018,0.790378,0.892857,0.750000,0.935065,0.880000,0.081818
terra,run3,PartialNameOnly,mediastore,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
terra,run3,CorefOnly,mediastore,1.000000,0.101695,0.184615,0.123967,0.193548,0.000000,0.000000,0.120000,0.000000
terra,run3,Full,teastore,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000
terra,run3,FullNameOnly,teastore,1.000000,0.735502,0.847596,0.776583,0.875000,0.666667,0.860215,0.739130,0.000000
terra,run3,PartialNameOnly,teastore,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
terra,run3,CorefOnly,teastore,1.000000,0.347949,0.516264,0.400130,0.540541,0.000000,0.000000,0.434783,0.000000
terra,run3,Full,teammates,0.949751,0.777325,0.854931,0.806613,0.604651,0.333333,0.568430,0.478261,0.178704
terra,run3,FullNameOnly,teammates,0.972172,0.729159,0.833310,0.767531,0.560510,0.333333,0.558034,0.391304,0.063380
terra,run3,PartialNameOnly,teammates,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
terra,run3,CorefOnly,teammates,0.974605,0.213289,0.349985,0.252781,0.279070,0.071429,0.220704,0.195652,0.042373
terra,run3,Full,bigbluebutton,0.800341,0.920209,0.856100,0.893447,0.910180,0.571429,0.843289,0.933333,0.269201
terra,run3,FullNameOnly,bigbluebutton,0.857951,0.793983,0.824728,0.806002,0.794118,0.571429,0.803653,0.711111,0.151057
terra,run3,PartialNameOnly,bigbluebutton,0.554572,0.122956,0.201285,0.145624,0.428571,0.000000,0.000000,0.266667,0.542242
terra,run3,CorefOnly,bigbluebutton,0.898305,0.034663,0.066751,0.042915,0.096386,0.000000,0.000000,0.066667,0.100198
terra,run3,Full,jabref,0.997346,1.000000,0.998671,0.999468,0.977778,0.800000,0.960000,1.000000,0.002773
terra,run3,FullNameOnly,jabref,0.997346,1.000000,0.998671,0.999468,0.977778,0.800000,0.960000,1.000000,0.002773
terra,run3,PartialNameOnly,jabref,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
terra,run3,CorefOnly,jabref,0.999482,0.233309,0.378309,0.275556,0.307692,0.000000,0.000000,0.200000,0.000522
luna,run1,Full,mediastore,0.852459,0.881356,0.866667,0.875421,0.949153,0.823529,0.976744,1.000000,0.072000
luna,run1,FullNameOnly,mediastore,0.836364,0.779661,0.807018,0.790378,0.892857,0.750000,0.935065,0.880000,0.081818
luna,run1,PartialNameOnly,mediastore,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
luna,run1,CorefOnly,mediastore,1.000000,0.186441,0.314286,0.222672,0.444444,0.000000,0.000000,0.320000,0.000000
luna,run1,Full,teastore,0.994126,0.957567,0.975504,0.964662,0.945455,0.909091,0.983607,0.956522,0.083333
luna,run1,FullNameOnly,teastore,0.996024,0.708628,0.828099,0.752026,0.833333,0.666667,0.842105,0.695652,0.058824
luna,run1,PartialNameOnly,teastore,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
luna,run1,CorefOnly,teastore,0.991736,0.339463,0.505796,0.390879,0.400000,0.000000,0.000000,0.304348,0.125000
luna,run1,Full,teammates,0.716369,0.916142,0.804032,0.867744,0.744898,0.500000,0.720251,0.652174,0.310688
luna,run1,FullNameOnly,teammates,0.716179,0.887860,0.792832,0.847240,0.726316,0.500000,0.718720,0.608696,0.308629
luna,run1,PartialNameOnly,teammates,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
luna,run1,CorefOnly,teammates,0.680000,0.121773,0.206557,0.145694,0.177419,0.000000,0.000000,0.119565,0.212516
luna,run1,Full,bigbluebutton,0.656051,0.943100,0.773813,0.867212,0.793651,0.400000,0.732303,0.977778,0.411588
luna,run1,FullNameOnly,bigbluebutton,0.789702,0.832570,0.810570,0.823628,0.808511,0.571429,0.805271,0.777778,0.187130
luna,run1,PartialNameOnly,bigbluebutton,0.500882,0.185742,0.270992,0.212479,0.537313,0.000000,0.000000,0.400000,0.587638
luna,run1,CorefOnly,bigbluebutton,0.576458,0.342708,0.429861,0.372954,0.580153,0.000000,0.000000,0.466667,0.404495
luna,run1,Full,jabref,0.997346,1.000000,0.998671,0.999468,0.977778,0.800000,0.960000,1.000000,0.002773
luna,run1,FullNameOnly,jabref,0.997346,1.000000,0.998671,0.999468,0.977778,0.800000,0.960000,1.000000,0.002773
luna,run1,PartialNameOnly,jabref,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
luna,run1,CorefOnly,jabref,0.999758,0.499637,0.666290,0.555182,0.533333,0.000000,0.000000,0.500000,0.000104
luna,run2,Full,mediastore,0.852459,0.881356,0.866667,0.875421,0.949153,0.823529,0.976744,1.000000,0.072000
luna,run2,FullNameOnly,mediastore,0.836364,0.779661,0.807018,0.790378,0.892857,0.750000,0.935065,0.880000,0.081818
luna,run2,PartialNameOnly,mediastore,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
luna,run2,CorefOnly,mediastore,1.000000,0.288136,0.447368,0.335968,0.564103,0.000000,0.000000,0.440000,0.000000
luna,run2,Full,teastore,0.994374,1.000000,0.997179,0.998870,0.964286,1.000000,1.000000,1.000000,0.080000
luna,run2,FullNameOnly,teastore,0.996169,0.735502,0.846216,0.776119,0.857143,0.666667,0.860215,0.739130,0.055556
luna,run2,PartialNameOnly,teastore,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
luna,run2,CorefOnly,teastore,0.988981,0.507779,0.671028,0.562520,0.651163,0.000000,0.000000,0.608696,0.125000
luna,run2,Full,teammates,0.720036,0.901445,0.800592,0.858201,0.729167,0.500000,0.724184,0.630435,0.301442
luna,run2,FullNameOnly,teammates,0.746649,0.880450,0.808048,0.849986,0.716578,0.512821,0.716523,0.597826,0.293742
luna,run2,PartialNameOnly,teammates,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
