backend,run,validator,rejected_tp,unique_rejected_tp,rejected_fp,kept_tp,kept_fp
terra,run1,full_name,4,4,34,148,9
terra,run1,partial_name,6,5,55,18,26
terra,run1,coref,86,9,70,24,3
terra,run1,all_combined,91,13,155,182,38
terra,run2,full_name,3,3,47,149,14
terra,run2,partial_name,10,8,61,14,8
terra,run2,coref,88,12,73,26,4
terra,run2,all_combined,93,15,174,180,26
terra,run3,full_name,5,3,38,146,11
terra,run3,partial_name,9,8,58,17,21
terra,run3,coref,78,7,73,37,1
terra,run3,all_combined,88,14,164,181,33
terra,average,full_name,4,3.33,39.67,147.67,11.33
terra,average,partial_name,8.33,7,58,16.33,18.33
terra,average,coref,84,9.33,72,29,2.67
terra,average,all_combined,90.67,14,164.33,181,32.33
luna,run1,full_name,1,0,13,158,43
luna,run1,partial_name,3,3,43,18,34
luna,run1,coref,58,1,116,54,13
luna,run1,all_combined,62,4,165,191,87
luna,run2,full_name,0,0,16,163,37
luna,run2,partial_name,11,9,51,6,31
luna,run2,coref,50,6,103,54,13
luna,run2,all_combined,56,10,166,185,78
luna,run3,full_name,1,0,41,160,27
luna,run3,partial_name,4,4,47,15,20
luna,run3,coref,43,1,116,42,4
luna,run3,all_combined,47,4,188,190,50
luna,average,full_name,0.67,0,23.33,160.33,35.67
luna,average,partial_name,6,5.33,47,13,28.33
luna,average,coref,50.33,2.67,111.67,50,10
luna,average,all_combined,55,6,173,188.67,71.67
