variant,project,tp,fp,fn,f1,f2
Full,teammates,52,19,5,0.812500,0.869565
NoFullNameValid,teammates,54,50,3,0.670807,0.813253
NoPartialNameValid,teammates,55,46,2,0.696203,0.835866
NoCitation,teammates,52,42,5,0.688742,0.807453
NoValidator,teammates,57,89,0,0.561576,0.762032
