backend,run,validator,rejected_tp,unique_rejected_tp,rejected_fp,kept_tp,kept_fp
terra,run1,name,20,20,101,141,8
terra,run1,coref,111,19,72,22,2
terra,run1,all_combined,127,35,161,154,10
terra,run2,name,17,16,101,144,8
terra,run2,coref,101,20,60,18,1
terra,run2,all_combined,112,30,148,158,9
terra,run3,name,16,16,99,145,10
terra,run3,coref,89,17,51,28,2
terra,run3,all_combined,101,29,143,160,12
terra,average,name,17.67,17.33,100.33,143.33,8.67
terra,average,coref,100.33,18.67,61,22.67,1.67
terra,average,all_combined,113.33,31.33,150.67,157.33,10.33
