backend,run,linker_set,macro_precision,macro_recall,macro_f1,macro_f2,component_miss_rate
terra,run1,name_only,0.961021,0.726787,0.814721,0.757511,10.800478
terra,run1,coref_only,0.775000,0.108671,0.184966,0.130026,54.291014
terra,run1,full,0.949521,0.797214,0.858268,0.818989,10.800478
terra,run2,name_only,0.961609,0.736748,0.820860,0.766109,10.800478
terra,run2,coref_only,0.780000,0.087971,0.152974,0.105936,65.091492
terra,run2,full,0.960181,0.810684,0.871241,0.832472,10.800478
terra,run3,name_only,0.954965,0.739974,0.819870,0.767792,10.800478
terra,run3,coref_only,0.955556,0.144275,0.238424,0.171050,47.588505
terra,run3,full,0.950414,0.821034,0.873261,0.839808,10.800478
terra,average,name_only,0.959198,0.734503,0.818483,0.763804,10.800478
terra,average,coref_only,0.836852,0.113639,0.192121,0.135671,55.657004
terra,average,full,0.953372,0.809644,0.867590,0.830423,10.800478
