backend,run,variant,project,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_file_f2,doc_to_code_component_micro_f1,doc_to_code_component_micro_f2,doc_to_code_worst_component_f1,doc_to_code_worst_component_f2,doc_to_code_harmonic_component_f1,doc_to_code_harmonic_component_f2
terra,run3,NoValidator,teammates,0.523684,0.954428,0.676293,0.819599,0.636735,0.674740,0.210526,0.400000,0.534869,0.735112
terra,run3,Full,bigbluebutton,0.758315,0.894702,0.820882,0.863636,0.877419,0.867347,0.666667,0.555556,0.836792,0.818858
terra,run3,NoNameValid,bigbluebutton,0.553045,0.944408,0.697585,0.827318,0.825397,0.915493,0.333333,0.500000,0.684913,0.808268
terra,run3,NoCitation,bigbluebutton,0.635273,0.935252,0.756614,0.854548,0.793478,0.866983,0.666667,0.555556,0.794666,0.828714
terra,run3,NoValidator,bigbluebutton,0.490353,0.964029,0.650055,0.807937,0.738318,0.875831,0.333333,0.555556,0.658472,0.808102
terra,run3,Full,jabref,0.894418,1.000000,0.944267,0.976935,0.977778,0.990991,0.888889,0.952381,0.979592,0.991736
terra,run3,NoNameValid,jabref,0.892680,1.000000,0.943297,0.976520,0.956522,0.982143,0.800000,0.909091,0.941176,0.975610
terra,run3,NoCitation,jabref,0.722601,1.000000,0.838965,0.928697,0.862745,0.940171,0.800000,0.909091,0.867470,0.942408
terra,run3,NoValidator,jabref,0.722601,1.000000,0.838965,0.928697,0.862745,0.940171,0.800000,0.909091,0.867470,0.942408
terra,average,Full,bigbluebutton,0.775635,0.881622,0.825056,0.858037,0.882138,0.863977,0.603175,0.488215,0.830772,0.800097
terra,average,Full,jabref,0.886567,1.000000,0.939837,0.975023,0.970693,0.988042,0.888889,0.952381,0.975209,0.989924
terra,average,Full,mediastore,1.000000,0.474576,0.643678,0.530303,0.808511,0.725191,0.000000,0.000000,0.000000,0.000000
terra,average,Full,teammates,0.960333,0.690832,0.803486,0.731862,0.596273,0.485830,0.715990,0.611746,0.804888,0.751328
terra,average,Full,teastore,1.000000,0.487034,0.654944,0.542678,0.859043,0.792151,0.000000,0.000000,0.000000,0.000000
terra,average,NoCitation,bigbluebutton,0.639192,0.935252,0.759375,0.855949,0.790634,0.865617,0.646465,0.555556,0.793619,0.828257
terra,average,NoCitation,jabref,0.800274,1.000000,0.887806,0.951465,0.898958,0.956715,0.800000,0.909091,0.896971,0.955888
terra,average,NoCitation,mediastore,0.953296,0.694915,0.803781,0.734709,0.875146,0.849554,0.000000,0.000000,0.000000,0.000000
terra,average,NoCitation,teammates,0.547024,0.745955,0.629086,0.693536,0.621475,0.562005,0.540552,0.644855,0.716300,0.757604
terra,average,NoCitation,teastore,0.979875,0.897218,0.936227,0.912316,0.883646,0.915615,0.895623,0.842912,0.954992,0.947581
terra,average,NoNameValid,bigbluebutton,0.552129,0.940920,0.695904,0.824765,0.825397,0.915493,0.333333,0.500000,0.684704,0.807841
terra,average,NoNameValid,jabref,0.884859,1.000000,0.938876,0.974609,0.949738,0.979246,0.800000,0.909091,0.937128,0.973857
terra,average,NoNameValid,mediastore,1.000000,0.474576,0.643678,0.530303,0.808511,0.725191,0.000000,0.000000,0.000000,0.000000
terra,average,NoNameValid,teammates,0.700848,0.938619,0.802492,0.878979,0.657895,0.668449,0.210526,0.400000,0.567866,0.757271
terra,average,NoNameValid,teastore,1.000000,0.487034,0.654944,0.542678,0.859043,0.792151,0.000000,0.000000,0.000000,0.000000
terra,average,NoValidator,bigbluebutton,0.484589,0.964029,0.644958,0.804768,0.730400,0.871336,0.333333,0.555556,0.652784,0.804647
terra,average,NoValidator,jabref,0.800274,1.000000,0.887806,0.951465,0.898958,0.956715,0.800000,0.909091,0.896971,0.955888
terra,average,NoValidator,mediastore,0.953296,0.694915,0.803781,0.734709,0.875146,0.849554,0.000000,0.000000,0.000000,0.000000
terra,average,NoValidator,teammates,0.495886,0.954963,0.651892,0.804661,0.640664,0.684680,0.210526,0.400000,0.527801,0.729690
terra,average,NoValidator,teastore,0.979875,0.897218,0.936227,0.912316,0.883646,0.915615,0.895623,0.842912,0.954992,0.947581
