variant,project,tp,fp,fn,f1,f2
Full,teammates,55,37,2,0.738255,0.859375
NoFullNameValid,teammates,57,54,0,0.678571,0.840708
NoPartialNameValid,teammates,55,66,2,0.617978,0.787966
NoCitation,teammates,55,80,2,0.572917,0.757576
NoValidator,teammates,57,125,0,0.476987,0.695122
