key,url,status,bytes,content_type
McMillan_2009,https://sdf.org/~cmc/papers/mcmillan_tefse09.pdf,OK,303362,application/pdf
Hou_2024,https://doi.org/10.1145/3695988,FAIL(rc=0;ctype=text/html; charset=UTF-8),5565,text/html; charset=UTF-8
Lago_2009,https://doi.org/10.1016/j.jss.2008.08.026,FAIL(rc=0;ctype=text/html;charset=UTF-8),2660,text/html;charset=UTF-8
Arora_2017,https://doi.org/10.1109/TSE.2016.2635134,FAIL(rc=0;ctype=text/html; charset=UTF-8),0,text/html; charset=UTF-8
Arora_2015,https://people.svv.lu/sabetzadeh/pub/RE15.pdf,OK,2085523,application/pdf
Bacchelli_2017,https://doi.org/10.1016/j.scico.2017.06.009,FAIL(rc=0;ctype=text/html;charset=UTF-8),2688,text/html;charset=UTF-8
Bucchiarone_2009,https://arxiv.org/pdf/0910.0493,OK,660051,application/pdf
Capilla_2011,https://doi.org/10.1007/978-3-642-23798-0_33,FAIL(rc=0;ctype=text/html; charset=utf-8),3038,text/html; charset=utf-8
Treude_2025,https://arxiv.org/pdf/2502.08108,OK,124192,application/pdf
Moran_2020,https://arxiv.org/pdf/2005.09046,OK,2681922,application/pdf
Jain_2024,https://arxiv.org/pdf/2407.09726,OK,5906278,application/pdf
Antoniol_2017,https://arxiv.org/pdf/1710.03129,OK,790325,application/pdf
Ezzini_2022,https://doi.org/10.1145/3510003.3510157,FAIL(rc=0;ctype=text/html; charset=UTF-8),5610,text/html; charset=UTF-8
Eghbali_2024,https://arxiv.org/pdf/2401.01701,OK,742233,application/pdf
Tufano_2024,https://arxiv.org/pdf/2402.16480,OK,708560,application/pdf
Haiduc_2013,https://doi.org/10.1109/ICSE.2013.6606630,FAIL(rc=0;ctype=text/html; charset=UTF-8),0,text/html; charset=UTF-8
Muccini_2004,https://doi.org/10.1109/TSE.2004.1271170,FAIL(rc=0;ctype=text/html; charset=UTF-8),0,text/html; charset=UTF-8
Pradel_2020,https://doi.org/10.1145/3368089.3409715,FAIL(rc=0;ctype=text/html; charset=UTF-8),5610,text/html; charset=UTF-8
