variant,project,tp,fp,fn,f1,f2
Full,mediastore,19,0,12,0.760000,0.664336
NoNameValid,mediastore,19,0,12,0.760000,0.664336
NoCitation,mediastore,23,6,8,0.766667,0.751634
NoValidator,mediastore,23,6,8,0.766667,0.751634
