variant,project,tp,fp,fn,f1,f2
Full,teammates,55,11,2,0.894309,0.935374
NoFullNameValid,teammates,57,55,0,0.674556,0.838235
NoPartialNameValid,teammates,55,39,2,0.728477,0.854037
NoCitation,teammates,56,32,1,0.772414,0.886076
NoValidator,teammates,57,101,0,0.530233,0.738342
