variant,project,tp,fp,fn,f1,f2
Full,bigbluebutton,54,6,8,0.885246,0.876623
NoFullNameValid,bigbluebutton,56,6,6,0.903226,0.903226
NoPartialNameValid,bigbluebutton,59,30,3,0.781457,0.875371
NoCitation,bigbluebutton,58,14,4,0.865672,0.906250
NoValidator,bigbluebutton,62,36,0,0.775000,0.895954
