variant,project,tp,fp,fn,f1,f2
Full,teammates,56,45,1,0.708861,0.851064
NoNameValid,teammates,57,79,0,0.590674,0.782967
NoCitation,teammates,56,86,1,0.562814,0.756757
NoValidator,teammates,57,120,0,0.487179,0.703704
