backend,run,linker_set,project,doc_to_model_link_precision,doc_to_model_link_recall,doc_to_model_link_f1,doc_to_model_link_f2
terra,average,full,teastore,1.000000,1.000000,1.000000,1.000000
terra,average,full,teammates,0.754101,0.900585,0.820373,0.866541
terra,average,full,bigbluebutton,0.833123,0.913978,0.871396,0.896378
terra,average,full,jabref,0.947368,1.000000,0.972973,0.989011
luna,run1,full_name_only,mediastore,0.903226,0.903226,0.903226,0.903226
luna,run1,full_name_only,teastore,0.952381,0.740741,0.833333,0.775194
luna,run1,full_name_only,teammates,0.619048,0.912281,0.737589,0.833333
luna,run1,full_name_only,bigbluebutton,0.869565,0.645161,0.740741,0.680272
luna,run1,full_name_only,jabref,0.947368,1.000000,0.972973,0.989011
luna,run1,partial_name_only,mediastore,0.000000,0.000000,0.000000,0.000000
luna,run1,partial_name_only,teastore,0.000000,0.000000,0.000000,0.000000
luna,run1,partial_name_only,teammates,0.000000,0.000000,0.000000,0.000000
luna,run1,partial_name_only,bigbluebutton,0.461538,0.290323,0.356436,0.313589
luna,run1,partial_name_only,jabref,0.000000,0.000000,0.000000,0.000000
luna,run1,coref_only,mediastore,1.000000,0.258065,0.410256,0.303030
luna,run1,coref_only,teastore,0.875000,0.259259,0.400000,0.301724
luna,run1,coref_only,teammates,0.769231,0.175439,0.285714,0.207469
luna,run1,coref_only,bigbluebutton,0.709677,0.354839,0.473118,0.394265
luna,run1,coref_only,jabref,1.000000,0.388889,0.560000,0.443038
luna,run1,full,mediastore,0.911765,1.000000,0.953846,0.981013
luna,run1,full,teastore,0.928571,0.962963,0.945455,0.955882
luna,run1,full,teammates,0.549020,0.982456,0.704403,0.848485
luna,run1,full,bigbluebutton,0.631579,0.967742,0.764331,0.874636
luna,run1,full,jabref,0.947368,1.000000,0.972973,0.989011
luna,run2,full_name_only,mediastore,0.903226,0.903226,0.903226,0.903226
luna,run2,full_name_only,teastore,0.954545,0.777778,0.857143,0.807692
luna,run2,full_name_only,teammates,0.634146,0.912281,0.748201,0.838710
luna,run2,full_name_only,bigbluebutton,0.977778,0.709677,0.822430,0.750853
luna,run2,full_name_only,jabref,0.900000,1.000000,0.947368,0.978261
luna,run2,partial_name_only,mediastore,0.000000,0.000000,0.000000,0.000000
luna,run2,partial_name_only,teastore,0.000000,0.000000,0.000000,0.000000
luna,run2,partial_name_only,teammates,0.000000,0.000000,0.000000,0.000000
luna,run2,partial_name_only,bigbluebutton,0.240000,0.096774,0.137931,0.109890
luna,run2,partial_name_only,jabref,0.000000,0.000000,0.000000,0.000000
luna,run2,coref_only,mediastore,1.000000,0.354839,0.523810,0.407407
luna,run2,coref_only,teastore,0.875000,0.518519,0.651163,0.564516
luna,run2,coref_only,teammates,0.714286,0.175439,0.281690,0.206612
luna,run2,coref_only,bigbluebutton,0.681818,0.241935,0.357143,0.277778
luna,run2,coref_only,jabref,1.000000,0.222222,0.363636,0.263158
luna,run2,full,mediastore,0.911765,1.000000,0.953846,0.981013
luna,run2,full,teastore,0.931034,1.000000,0.964286,0.985401
luna,run2,full,teammates,0.555556,0.964912,0.705128,0.840979
luna,run2,full,bigbluebutton,0.666667,0.870968,0.755245,0.820669
luna,run2,full,jabref,0.900000,1.000000,0.947368,0.978261
luna,run3,full_name_only,mediastore,0.903226,0.903226,0.903226,0.903226
luna,run3,full_name_only,teastore,0.952381,0.740741,0.833333,0.775194
luna,run3,full_name_only,teammates,0.753623,0.912281,0.825397,0.875421
luna,run3,full_name_only,bigbluebutton,0.913043,0.677419,0.777778,0.714286
luna,run3,full_name_only,jabref,0.900000,1.000000,0.947368,0.978261
luna,run3,partial_name_only,mediastore,0.000000,0.000000,0.000000,0.000000
luna,run3,partial_name_only,teastore,0.000000,0.000000,0.000000,0.000000
luna,run3,partial_name_only,teammates,0.500000,0.017544,0.033898,0.021739
luna,run3,partial_name_only,bigbluebutton,0.424242,0.225806,0.294737,0.249110
luna,run3,partial_name_only,jabref,0.000000,0.000000,0.000000,0.000000
luna,run3,coref_only,mediastore,1.000000,0.064516,0.121212,0.079365
luna,run3,coref_only,teastore,1.000000,0.370370,0.540541,0.423729
luna,run3,coref_only,teammates,0.823529,0.245614,0.378378,0.285714
luna,run3,coref_only,bigbluebutton,0.937500,0.241935,0.384615,0.284091
luna,run3,coref_only,jabref,1.000000,0.055556,0.105263,0.068493
luna,run3,full,mediastore,0.909091,0.967742,0.937500,0.955414
luna,run3,full,teastore,0.964286,1.000000,0.981818,0.992647
luna,run3,full,teammates,0.730769,1.000000,0.844444,0.931373
luna,run3,full,bigbluebutton,0.716049,0.935484,0.811189,0.881459
luna,run3,full,jabref,0.900000,1.000000,0.947368,0.978261
luna,average,full_name_only,mediastore,0.903226,0.903226,0.903226,0.903226
luna,average,full_name_only,teastore,0.953102,0.753086,0.841270,0.786027
luna,average,full_name_only,teammates,0.668939,0.912281,0.770396,0.849155
luna,average,full_name_only,bigbluebutton,0.920129,0.677419,0.780316,0.715137
luna,average,full_name_only,jabref,0.915789,1.000000,0.955903,0.981844
luna,average,partial_name_only,mediastore,0.000000,0.000000,0.000000,0.000000
luna,average,partial_name_only,teastore,0.000000,0.000000,0.000000,0.000000
luna,average,partial_name_only,teammates,0.166667,0.005848,0.011299,0.007246
luna,average,partial_name_only,bigbluebutton,0.375260,0.204301,0.263035,0.224196
luna,average,partial_name_only,jabref,0.000000,0.000000,0.000000,0.000000
luna,average,coref_only,mediastore,1.000000,0.225806,0.351759,0.263268
luna,average,coref_only,teastore,0.916667,0.382716,0.530568,0.429990
luna,average,coref_only,teammates,0.769015,0.198830,0.315261,0.233265
luna,average,coref_only,bigbluebutton,0.776332,0.279570,0.404959,0.318711
luna,average,coref_only,jabref,1.000000,0.222222,0.342967,0.258230
luna,average,full,mediastore,0.910873,0.989247,0.948397,0.972480
luna,average,full,teastore,0.941297,0.987654,0.963853,0.977977
luna,average,full,teammates,0.611781,0.982456,0.751325,0.873612
luna,average,full,bigbluebutton,0.671432,0.924731,0.776922,0.858921
luna,average,full,jabref,0.915789,1.000000,0.955903,0.981844
