backend,run,variant,macro_f1,macro_f2
terra,run1,Full,0.907629,0.929868
terra,run1,NoFullNameValid,0.880631,0.923068
terra,run1,NoPartialNameValid,0.857971,0.913605
terra,run1,NoCitation,0.835991,0.916561
terra,run1,NoValidator,0.783344,0.888640
terra,run2,Full,0.920525,0.932478
terra,run2,NoFullNameValid,0.874329,0.914502
terra,run2,NoPartialNameValid,0.865971,0.919693
terra,run2,NoCitation,0.831092,0.916904
terra,run2,NoValidator,0.769731,0.881172
terra,run3,Full,0.912627,0.930747
terra,run3,NoFullNameValid,0.865372,0.913495
terra,run3,NoPartialNameValid,0.863246,0.919919
terra,run3,NoCitation,0.814216,0.902110
terra,run3,NoValidator,0.753664,0.875302
terra,average,Full,0.913594,0.931031
terra,average,NoFullNameValid,0.873444,0.917021
terra,average,NoPartialNameValid,0.862396,0.917739
terra,average,NoCitation,0.827100,0.911859
terra,average,NoValidator,0.768913,0.881705
luna,run1,Full,0.868201,0.929805
luna,run1,NoFullNameValid,0.843512,0.918177
luna,run1,NoPartialNameValid,0.839084,0.916658
luna,run1,NoCitation,0.745308,0.868984
luna,run1,NoValidator,0.714366,0.852572
luna,run2,Full,0.865175,0.921264
luna,run2,NoFullNameValid,0.842244,0.909720
luna,run2,NoPartialNameValid,0.837716,0.918982
luna,run2,NoCitation,0.756409,0.874598
luna,run2,NoValidator,0.721806,0.856256
luna,run3,Full,0.904464,0.947831
luna,run3,NoFullNameValid,0.856380,0.923039
luna,run3,NoPartialNameValid,0.862612,0.932059
luna,run3,NoCitation,0.755638,0.873284
luna,run3,NoValidator,0.715198,0.849429
luna,average,Full,0.879280,0.932967
luna,average,NoFullNameValid,0.847379,0.916979
luna,average,NoPartialNameValid,0.846471,0.922566
luna,average,NoCitation,0.752452,0.872288
luna,average,NoValidator,0.717123,0.852752
