backend,run,linker_set,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_file_f2,doc_to_code_component_micro_f1,doc_to_code_component_micro_f2,doc_to_code_worst_component_f1,doc_to_code_worst_component_f2,doc_to_code_harmonic_component_f1,doc_to_code_harmonic_component_f2,delta_doc_to_code_file_f1_vs_full,delta_doc_to_code_file_f2_vs_full,delta_doc_to_code_worst_component_f1_vs_full,delta_doc_to_code_worst_component_f2_vs_full,delta_doc_to_code_harmonic_component_f1_vs_full,delta_doc_to_code_harmonic_component_f2_vs_full
terra,run1,Full,0.914081,0.914307,0.911398,0.912496,0.884206,0.884051,0.699113,0.742964,0.888703,0.906024,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
terra,run1,FullNameOnly,0.931871,0.804248,0.859271,0.824623,0.817026,0.769874,0.650990,0.606504,0.853938,0.809988,-0.052126,-0.087873,-0.048124,-0.136460,-0.034765,-0.096036
terra,run1,PartialNameOnly,0.111475,0.026684,0.043061,0.031472,0.090435,0.073864,0.000000,0.000000,0.000000,0.000000,-0.868337,-0.881025,-0.699113,-0.742964,-0.888703,-0.906024
terra,run1,CorefOnly,0.948645,0.132808,0.225107,0.158666,0.204070,0.141891,0.000000,0.000000,0.000000,0.000000,-0.686291,-0.753830,-0.699113,-0.742964,-0.888703,-0.906024
terra,run2,Full,0.889083,0.914116,0.900228,0.908193,0.892086,0.887002,0.762311,0.742964,0.906014,0.913258,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
terra,run2,FullNameOnly,0.902498,0.806150,0.848527,0.822019,0.820261,0.774837,0.650990,0.606504,0.850459,0.810244,-0.051701,-0.086174,-0.111322,-0.136460,-0.055555,-0.103014
terra,run2,PartialNameOnly,0.111111,0.018313,0.031443,0.021985,0.067925,0.052478,0.000000,0.000000,0.000000,0.000000,-0.868785,-0.886208,-0.762311,-0.742964,-0.906014,-0.913258
terra,run2,CorefOnly,0.866077,0.156926,0.259342,0.186210,0.246574,0.173186,0.000000,0.000000,0.000000,0.000000,-0.640886,-0.721983,-0.762311,-0.742964,-0.906014,-0.913258
terra,run3,Full,0.919980,0.915778,0.915274,0.914990,0.888352,0.885092,0.719113,0.742964,0.900043,0.911883,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
terra,run3,FullNameOnly,0.932766,0.807661,0.862265,0.827992,0.820052,0.774128,0.650990,0.606504,0.855787,0.812635,-0.053009,-0.086997,-0.068124,-0.136460,-0.044257,-0.099247
terra,run3,PartialNameOnly,0.110914,0.024591,0.040257,0.029125,0.085714,0.068768,0.000000,0.000000,0.000000,0.000000,-0.875017,-0.885865,-0.719113,-0.742964,-0.900043,-0.911883
terra,run3,CorefOnly,0.974478,0.186181,0.299185,0.219070,0.283447,0.205772,0.035063,0.023456,0.073918,0.053855,-0.616089,-0.695920,-0.684050,-0.719507,-0.826126,-0.858028
luna,run1,Full,0.843270,0.939633,0.883737,0.914902,0.882187,0.899231,0.699979,0.769976,0.879938,0.922253,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
luna,run1,FullNameOnly,0.867123,0.841744,0.847438,0.842548,0.847759,0.814533,0.655342,0.664052,0.852072,0.843276,-0.036300,-0.072353,-0.044637,-0.105924,-0.027865,-0.078977
luna,run1,PartialNameOnly,0.100176,0.037148,0.054198,0.042496,0.107463,0.097035,0.000000,0.000000,0.000000,0.000000,-0.829539,-0.872406,-0.699979,-0.769976,-0.879938,-0.922253
luna,run1,CorefOnly,0.849590,0.298004,0.424558,0.337476,0.427070,0.337676,0.000000,0.000000,0.000000,0.000000,-0.459180,-0.577425,-0.699979,-0.769976,-0.879938,-0.922253
luna,run2,Full,0.829580,0.942041,0.879586,0.915237,0.881151,0.897288,0.758951,0.807911,0.891532,0.928993,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000
luna,run2,FullNameOnly,0.866929,0.847729,0.851475,0.847983,0.853191,0.821883,0.674390,0.669900,0.864850,0.852664,-0.028111,-0.067254,-0.084561,-0.138010,-0.026682,-0.076330
luna,run2,PartialNameOnly,0.088660,0.022498,0.035889,0.026445,0.076522,0.062500,0.000000,0.000000,0.000000,0.000000,-0.843696,-0.888792,-0.758951,-0.807911,-0.891532,-0.928993
luna,run2,CorefOnly,0.845942,0.318133,0.457378,0.361909,0.435086,0.348104,0.000000,0.000000,0.000000,0.000000,-0.422207,-0.553328,-0.758951,-0.807911,-0.891532,-0.928993
