backend,run,linker,tps_caught,unique_tps,fps,delta_f1_if_removed
terra,run1,FullName,148,142,9,+0.640972
terra,run1,PartialName,18,16,26,-0.005574
terra,run1,Coref,24,16,3,+0.048690
terra,run1,overlap:only_full_name,142,,,
terra,run1,overlap:only_partial_name,16,,,
terra,run1,overlap:only_coref,16,,,
terra,run1,overlap:shared,8,,,
terra,run2,FullName,149,141,14,+0.613996
terra,run2,PartialName,14,13,8,+0.014326
terra,run2,Coref,26,17,4,+0.048443
terra,run2,overlap:only_full_name,141,,,
terra,run2,overlap:only_partial_name,13,,,
terra,run2,overlap:only_coref,17,,,
terra,run2,overlap:shared,9,,,
terra,run3,FullName,146,128,11,+0.545920
terra,run3,PartialName,17,16,21,+0.002373
terra,run3,Coref,37,18,1,+0.052248
terra,run3,overlap:only_full_name,128,,,
terra,run3,overlap:only_partial_name,16,,,
terra,run3,overlap:only_coref,18,,,
terra,run3,overlap:shared,19,,,
terra,average,FullName,147.67,137,11.33,+0.600296
terra,average,PartialName,16.33,15,18.33,+0.003708
terra,average,Coref,29,17,2.67,+0.049794
terra,average,overlap:only_full_name,137,,,
terra,average,overlap:only_partial_name,15,,,
terra,average,overlap:only_coref,17,,,
terra,average,overlap:shared,12,,,
luna,run1,FullName,158,125,43,+0.438021
luna,run1,PartialName,18,12,34,-0.014517
luna,run1,Coref,54,15,13,+0.033407
luna,run1,overlap:only_full_name,125,,,
luna,run1,overlap:only_partial_name,12,,,
luna,run1,overlap:only_coref,15,,,
luna,run1,overlap:shared,39,,,
luna,run2,FullName,163,126,37,+0.435186
luna,run2,PartialName,6,5,31,-0.025409
luna,run2,Coref,54,16,13,+0.034364
luna,run2,overlap:only_full_name,126,,,
luna,run2,overlap:only_partial_name,5,,,
luna,run2,overlap:only_coref,16,,,
luna,run2,overlap:shared,38,,,
luna,run3,FullName,160,140,27,+0.588775
luna,run3,PartialName,15,8,20,-0.011436
luna,run3,Coref,42,15,4,+0.043188
luna,run3,overlap:only_full_name,140,,,
luna,run3,overlap:only_partial_name,8,,,
luna,run3,overlap:only_coref,15,,,
luna,run3,overlap:shared,27,,,
luna,average,FullName,160.33,130.33,35.67,+0.487327
luna,average,PartialName,13,8.33,28.33,-0.017121
luna,average,Coref,50,15.33,10,+0.036986
luna,average,overlap:only_full_name,130.33,,,
luna,average,overlap:only_partial_name,8.33,,,
luna,average,overlap:only_coref,15.33,,,
luna,average,overlap:shared,34.67,,,
