backend,run,variant,project,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_file_f2,doc_to_code_component_micro_f1,doc_to_code_component_micro_f2,doc_to_code_worst_component_f1,doc_to_code_worst_component_f2,doc_to_code_harmonic_component_f1,doc_to_code_harmonic_component_f2
terra,run1,Full,mediastore,0.852459,0.881356,0.866667,0.875421,0.949153,0.979021,0.724138,0.739437,0.959391,0.962322
terra,run1,NoFullNameValid,mediastore,0.852459,0.881356,0.866667,0.875421,0.949153,0.979021,0.724138,0.739437,0.959391,0.962322
terra,run1,NoPartialNameValid,mediastore,0.852459,0.881356,0.866667,0.875421,0.949153,0.979021,0.724138,0.739437,0.959391,0.962322
terra,run1,NoCitation,mediastore,0.852459,0.881356,0.866667,0.875421,0.949153,0.979021,0.724138,0.739437,0.959391,0.962322
terra,run1,NoValidator,mediastore,0.852459,0.881356,0.866667,0.875421,0.949153,0.979021,0.724138,0.739437,0.959391,0.962322
terra,run1,Full,teastore,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
terra,run1,NoFullNameValid,teastore,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
terra,run1,NoPartialNameValid,teastore,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
terra,run1,NoCitation,teastore,0.988811,1.000000,0.994374,0.997742,0.931034,0.971223,1.000000,1.000000,1.000000,1.000000
terra,run1,NoValidator,teastore,0.988811,1.000000,0.994374,0.997742,0.931034,0.971223,1.000000,1.000000,1.000000,1.000000
terra,run1,Full,teammates,0.927517,0.760158,0.835539,0.788617,0.582857,0.501969,0.400000,0.611746,0.711969,0.739033
terra,run1,NoFullNameValid,teammates,0.719630,0.931333,0.811908,0.879581,0.708134,0.682657,0.400000,0.625000,0.690849,0.831515
terra,run1,NoPartialNameValid,teammates,0.886632,0.760158,0.818538,0.782482,0.528497,0.484791,0.210526,0.400000,0.579380,0.674905
terra,run1,NoCitation,teammates,0.531633,0.813635,0.643077,0.735596,0.563380,0.549451,0.380952,0.606061,0.598602,0.711924
terra,run1,NoValidator,teammates,0.475801,0.955539,0.635274,0.795186,0.610687,0.672269,0.205128,0.392157,0.494498,0.703634
