variant,project,tp,fp,fn,f1,f2
Full,mediastore,22,0,9,0.830189,0.753425
NoNameValid,mediastore,22,0,9,0.830189,0.753425
NoCitation,mediastore,25,6,6,0.806452,0.806452
NoValidator,mediastore,25,6,6,0.806452,0.806452
