variant,project,tp,fp,fn,f1,f2
Full,bigbluebutton,45,3,17,0.818182,0.760135
NoNameValid,bigbluebutton,60,30,2,0.789474,0.887574
NoCitation,bigbluebutton,52,29,10,0.727273,0.790274
NoValidator,bigbluebutton,61,53,1,0.693182,0.842541
