model,encoding,strategy,cv_folds,cv_repeats,total_trials,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,random_f1_mean,random_f1_std,f1_improvement,wilcoxon_p_value,cohens_d,significantly_better_than_random,system,detector,text_source
logistic_regression,openai,random_undersample,5,2,10,0.630545201820187,0.0386344986730809,0.159829286745955,0.0136163125452211,0.614592760180995,0.0714320611659842,0.253106905297719,0.0206120840585932,0.0921338769962623,0.0309296072867855,0.160973028301457,0.0009765625,5.81050848514101,True,inkscape,acdc,description
random_forest,openai,random_undersample,5,2,10,0.654594340648247,0.0310598688953528,0.165005237326792,0.0181329988475627,0.587518853695324,0.0744887431993484,0.257285803698637,0.0278865627006672,0.0921338769962623,0.0309296072867855,0.165151926702374,0.0009765625,5.32056387833747,True,inkscape,acdc,description
svm,openai,random_undersample,5,2,10,0.704282563791952,0.038070824686585,0.195282892937081,0.0182341624302554,0.601018099547511,0.0595923407313241,0.293624264200996,0.0219539046774444,0.0921338769962623,0.0309296072867855,0.201490387204734,0.0009765625,7.12719041213142,True,inkscape,acdc,description
knn,openai,random_undersample,5,2,10,0.538851356598177,0.0447013847173524,0.141409254672625,0.0126302917280768,0.693929110105581,0.0798140055739587,0.234578263494467,0.0200027400734652,0.0921338769962623,0.0309296072867855,0.142444386498205,0.0009765625,5.18837838899272,True,inkscape,acdc,description
naive_bayes,openai,random_undersample,5,2,10,0.652622730590629,0.0300030876656184,0.16442282076782,0.0156436294639367,0.591515837104072,0.0830857432491384,0.256833332195643,0.0256614230261801,0.0921338769962623,0.0309296072867855,0.164699455199381,0.0009765625,5.49821966291353,True,inkscape,acdc,description
xgboost,openai,random_undersample,5,2,10,0.645118343195266,0.0197910209587899,0.163396945113367,0.0123927617978955,0.602941176470588,0.0505056681000421,0.256963485155666,0.0189420137633211,0.0921338769962623,0.0309296072867855,0.164829608159404,0.0009765625,6.09727629906493,True,inkscape,acdc,description
feedforward_nn,openai,random_undersample,5,2,10,0.594215626892792,0.0990995984464504,0.157985110354052,0.024203741654135,0.651772247360483,0.0983280132633635,0.250745735858089,0.0243571249360994,0.0921338769962623,0.0309296072867855,0.158611858861827,0.0009765625,5.40528561975316,True,inkscape,acdc,description
logistic_regression,tfidf,random_undersample,5,2,10,0.67035091397599,0.0367762466156066,0.159617028183618,0.0177835608504421,0.523453996983409,0.0846089989874258,0.243801532235863,0.0271363184336727,0.0921338769962623,0.0309296072867855,0.151667655239601,0.0009765625,4.94536250294413,True,inkscape,acdc,description
random_forest,tfidf,random_undersample,5,2,10,0.633485144978179,0.0499146704832328,0.134175118423009,0.0226599677941605,0.469079939668175,0.0745687842477849,0.207661105958883,0.0314582908879039,0.0921338769962623,0.0309296072867855,0.115527228962621,0.0009765625,3.51333578489813,True,inkscape,acdc,description
svm,tfidf,random_undersample,5,2,10,0.734637127459659,0.0486474902360762,0.177731599736005,0.0264305591415594,0.432390648567119,0.0972976434983545,0.248287665198291,0.0325947839062649,0.0921338769962623,0.0309296072867855,0.156153788202029,0.0009765625,4.66244912420473,True,inkscape,acdc,description
