run,project,tp,fp,fn,f1,f2,canonical
run1,mediastore,31,3,0,0.953846,0.981013,
run1,teastore,26,0,1,0.981132,0.970149,
run1,teammates,54,15,3,0.857143,0.909091,
run1,bigbluebutton,57,9,5,0.890625,0.907643,
run1,jabref,18,0,0,1.000000,1.000000,
run1,MACRO,,,,0.936549,0.953579,
run2,mediastore,31,3,0,0.953846,0.981013,
run2,teastore,26,0,1,0.981132,0.970149,
run2,teammates,52,12,5,0.859504,0.890411,
run2,bigbluebutton,59,9,3,0.907692,0.933544,
run2,jabref,18,0,0,1.000000,1.000000,
run2,MACRO,,,,0.940435,0.955023,
run3,mediastore,31,3,0,0.953846,0.981013,yes
run3,teastore,26,0,1,0.981132,0.970149,yes
run3,teammates,55,11,2,0.894309,0.935374,yes
run3,bigbluebutton,57,13,5,0.863636,0.896226,yes
run3,jabref,18,0,0,1.000000,1.000000,yes
run3,MACRO,,,,0.938585,0.956552,yes
