variant,project,tp,fp,fn,f1,f2
Full,bigbluebutton,60,23,2,0.827586,0.906344
NoFullNameValid,bigbluebutton,60,23,2,0.827586,0.906344
NoPartialNameValid,bigbluebutton,61,45,1,0.726190,0.861582
NoCitation,bigbluebutton,60,46,2,0.714286,0.847458
NoValidator,bigbluebutton,61,65,1,0.648936,0.815508
