model,strategy,encoding,cv_folds,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,positive_smell_recall_mean,positive_smell_recall_std,top_1_positive_count_mean,top_1_positive_count_std,top_5_positive_count_mean,top_5_positive_count_std,top_10_positive_count_mean,top_10_positive_count_std,recall
logistic_regression,none,openai,7,0.8535215212722915,0.011808623136808671,0.25685343894699686,0.05952775238950537,0.23890109890109892,0.07263528450419557,0.24592870464594344,0.06315955548785522,0.23890109890109892,0.07263528450419557,6.142857142857143,1.8844151368961313,25.714285714285715,0.45175395145262565,25.714285714285715,0.45175395145262565,0.23890109890109892
logistic_regression,class_weight,openai,7,0.7447680699991553,0.013674896720727456,0.18318204452232362,0.019660716186086453,0.43890109890109885,0.05698371754042098,0.2581593533548193,0.028362768395208494,0.43890109890109885,0.05698371754042098,11.285714285714286,1.4846149779161806,25.714285714285715,0.45175395145262565,25.714285714285715,0.45175395145262565,0.43890109890109885
logistic_regression,random_undersample,openai,7,0.6377085769417163,0.02793626904952548,0.16944021797745204,0.017467600780133135,0.6556043956043957,0.06320506186556024,0.2689619415679859,0.02574438738908032,0.6556043956043957,0.06320506186556024,16.857142857142858,1.6413036132965795,25.714285714285715,0.45175395145262565,25.714285714285715,0.45175395145262565,0.6556043956043957
random_forest,none,openai,7,0.8985937034550523,0.0016450633019862225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.714285714285715,0.45175395145262565,25.714285714285715,0.45175395145262565,0.0
random_forest,class_weight,openai,7,0.4090286639071302,0.02659215456855279,0.12177909932380479,0.008616764096438616,0.7784615384615384,0.07742692134376972,0.21053191192868195,0.015380551161676864,0.7784615384615384,0.07742692134376972,20.0,1.8516401995451028,25.714285714285715,0.45175395145262565,25.714285714285715,0.45175395145262565,0.7784615384615384
random_forest,random_undersample,openai,7,0.6298345611936847,0.02558884377109084,0.15803346855475123,0.01260598165468013,0.6109890109890109,0.062343246247002715,0.25080181521843997,0.01933440845538492,0.6109890109890109,0.062343246247002715,15.714285714285714,1.665986255670086,25.714285714285715,0.45175395145262565,25.714285714285715,0.45175395145262565,0.6109890109890109
knn,none,openai,7,0.9031131484058562,0.010152326687907475,0.6193877551020408,0.15979735188451796,0.14461538461538462,0.049960254701844786,0.23068028151699552,0.07256645237197921,0.14461538461538462,0.049960254701844786,3.7142857142857144,1.2777531299998799,25.714285714285715,0.45175395145262565,25.714285714285715,0.45175395145262565,0.14461538461538462
knn,class_weight,openai,7,0.9031131484058562,0.010152326687907475,0.6193877551020408,0.15979735188451796,0.14461538461538462,0.049960254701844786,0.23068028151699552,0.07256645237197921,0.14461538461538462,0.049960254701844786,3.7142857142857144,1.2777531299998799,25.714285714285715,0.45175395145262565,25.714285714285715,0.45175395145262565,0.14461538461538462
knn,random_undersample,openai,7,0.6129083172903782,0.02859778492321519,0.16197025265531703,0.013793342017564839,0.6727472527472528,0.06564184327067964,0.2607178414577688,0.020751747546714598,0.6727472527472528,0.06564184327067964,17.285714285714285,1.577908716741037,25.714285714285715,0.45175395145262565,25.714285714285715,0.45175395145262565,0.6727472527472528
naive_bayes,none,openai,7,0.7554786876936825,0.024798748351019674,0.1947381660065914,0.03204605659397077,0.4446153846153846,0.06897878439443707,0.2699959098694104,0.04087383647766647,0.4446153846153846,0.06897878439443707,11.428571428571429,1.761261143705422,25.714285714285715,0.45175395145262565,25.714285714285715,0.45175395145262565,0.4446153846153846
