run,project,tp,fp,fn,f1,f2,canonical
run1,mediastore,20,0,11,0.784314,0.694444,
run1,teastore,19,0,8,0.826087,0.748031,
run1,teammates,52,11,5,0.866667,0.893471,
run1,bigbluebutton,55,6,7,0.894309,0.889968,
run1,jabref,18,0,0,1.000000,1.000000,
run1,MACRO,,,,0.874275,0.845183,
run2,mediastore,20,0,11,0.784314,0.694444,yes
run2,teastore,19,0,8,0.826087,0.748031,yes
run2,teammates,52,19,5,0.812500,0.869565,yes
run2,bigbluebutton,54,6,8,0.885246,0.876623,yes
run2,jabref,18,0,0,1.000000,1.000000,yes
run2,MACRO,,,,0.861629,0.837733,yes
run3,mediastore,20,0,11,0.784314,0.694444,
run3,teastore,19,0,8,0.826087,0.748031,
run3,teammates,52,16,5,0.832000,0.878378,
run3,bigbluebutton,50,6,12,0.847458,0.822368,
run3,jabref,18,1,0,0.972973,0.989011,
run3,MACRO,,,,0.852566,0.826447,
