group,model,arm,run,project,label,chars
alias,luna,ctl,1,bigbluebutton,Doc knowledge,8732
alias,luna,ctl,1,bigbluebutton,Doc knowledge judge,1848
alias,luna,ctl,1,bigbluebutton,batch,6798
alias,luna,ctl,1,bigbluebutton,batch,4751
alias,luna,ctl,1,bigbluebutton,Validation pass,18332
alias,luna,ctl,1,bigbluebutton,Validation pass,17281
alias,luna,ctl,1,jabref,Doc knowledge,2175
alias,luna,ctl,1,jabref,Doc knowledge judge,660
alias,luna,ctl,1,jabref,batch,2540
alias,luna,ctl,1,jabref,Validation pass,21584
alias,luna,ctl,1,mediastore,Doc knowledge,4575
alias,luna,ctl,1,mediastore,Doc knowledge judge,863
alias,luna,ctl,1,mediastore,batch,5085
alias,luna,ctl,1,mediastore,Validation pass,16251
alias,luna,ctl,1,mediastore,Validation pass,2725
alias,luna,ctl,1,teammates,Doc knowledge,17583
alias,luna,ctl,1,teammates,Doc knowledge judge,823
alias,luna,ctl,1,teammates,batch,5676
alias,luna,ctl,1,teammates,batch,5744
alias,luna,ctl,1,teammates,batch,5563
alias,luna,ctl,1,teammates,batch,5333
alias,luna,ctl,1,teammates,Validation pass,23412
alias,luna,ctl,1,teammates,Validation pass,25196
alias,luna,ctl,1,teammates,Validation pass,27220
alias,luna,ctl,1,teammates,Validation pass,4563
alias,luna,ctl,1,teastore,Doc knowledge,5002
alias,luna,ctl,1,teastore,Doc knowledge judge,935
alias,luna,ctl,1,teastore,batch,5595
alias,luna,ctl,1,teastore,Validation pass,14463
alias,luna,ctl,2,bigbluebutton,Doc knowledge,8732
alias,luna,ctl,2,bigbluebutton,Doc knowledge judge,1702
alias,luna,ctl,2,bigbluebutton,batch,6686
alias,luna,ctl,2,bigbluebutton,batch,4639
alias,luna,ctl,2,bigbluebutton,Validation pass,18009
alias,luna,ctl,2,bigbluebutton,Validation pass,12277
alias,luna,ctl,2,jabref,Doc knowledge,2175
alias,luna,ctl,2,jabref,Doc knowledge judge,660
alias,luna,ctl,2,jabref,batch,2540
alias,luna,ctl,2,jabref,Validation pass,22789
alias,luna,ctl,2,mediastore,Doc knowledge,4575
alias,luna,ctl,2,mediastore,Doc knowledge judge,863
alias,luna,ctl,2,mediastore,batch,5085
alias,luna,ctl,2,mediastore,Validation pass,16251
alias,luna,ctl,2,mediastore,Validation pass,2725
alias,luna,ctl,2,teammates,Doc knowledge,17583
alias,luna,ctl,2,teammates,Doc knowledge judge,772
alias,luna,ctl,2,teammates,batch,5653
alias,luna,ctl,2,teammates,batch,5721
alias,luna,ctl,2,teammates,batch,5540
alias,luna,ctl,2,teammates,batch,5310
alias,luna,ctl,2,teammates,Validation pass,24650
alias,luna,ctl,2,teammates,Validation pass,24669
alias,luna,ctl,2,teammates,Validation pass,14122
alias,luna,ctl,2,teastore,Doc knowledge,5002
alias,luna,ctl,2,teastore,Doc knowledge judge,976
alias,luna,ctl,2,teastore,batch,5608
alias,luna,ctl,2,teastore,Validation pass,13766
alias,luna,ctl,3,bigbluebutton,Doc knowledge,8732
alias,luna,ctl,3,bigbluebutton,Doc knowledge judge,1464
alias,luna,ctl,3,bigbluebutton,batch,6581
alias,luna,ctl,3,bigbluebutton,batch,4534
alias,luna,ctl,3,bigbluebutton,Validation pass,17971
alias,luna,ctl,3,bigbluebutton,Validation pass,12081
alias,luna,ctl,3,jabref,Doc knowledge,2175
alias,luna,ctl,3,jabref,Doc knowledge judge,620
alias,luna,ctl,3,jabref,batch,2528
alias,luna,ctl,3,jabref,Validation pass,20296
alias,luna,ctl,3,mediastore,Doc knowledge,4575
alias,luna,ctl,3,mediastore,Doc knowledge judge,863
alias,luna,ctl,3,mediastore,batch,5085
alias,luna,ctl,3,mediastore,Validation pass,16251
alias,luna,ctl,3,mediastore,Validation pass,2725
alias,luna,ctl,3,teammates,Doc knowledge,17583
alias,luna,ctl,3,teammates,Doc knowledge judge,1181
alias,luna,ctl,3,teammates,batch,5838
alias,luna,ctl,3,teammates,batch,5906
alias,luna,ctl,3,teammates,batch,5725
alias,luna,ctl,3,teammates,batch,5495
alias,luna,ctl,3,teammates,Validation pass,24794
alias,luna,ctl,3,teammates,Validation pass,24893
alias,luna,ctl,3,teammates,Validation pass,17458
alias,luna,ctl,3,teastore,Doc knowledge,5002
alias,luna,ctl,3,teastore,Doc knowledge judge,976
alias,luna,ctl,3,teastore,batch,5608
alias,luna,ctl,3,teastore,Validation pass,13766
alias,luna,typedalias,1,bigbluebutton,Doc knowledge,8732
alias,luna,typedalias,1,bigbluebutton,Doc knowledge judge,1903
alias,luna,typedalias,1,bigbluebutton,batch,6709
alias,luna,typedalias,1,bigbluebutton,batch,4662
alias,luna,typedalias,1,bigbluebutton,Validation pass,17239
alias,luna,typedalias,1,bigbluebutton,Validation pass,12865
alias,luna,typedalias,1,jabref,Doc knowledge,2175
alias,luna,typedalias,1,jabref,Doc knowledge judge,867
alias,luna,typedalias,1,jabref,batch,2540
alias,luna,typedalias,1,jabref,Validation pass,21584
alias,luna,typedalias,1,mediastore,Doc knowledge,4575
alias,luna,typedalias,1,mediastore,Doc knowledge judge,1070
alias,luna,typedalias,1,mediastore,batch,5085
alias,luna,typedalias,1,mediastore,Validation pass,16251
alias,luna,typedalias,1,mediastore,Validation pass,2725
alias,luna,typedalias,1,teammates,Doc knowledge,17583
alias,luna,typedalias,1,teammates,Doc knowledge judge,1434
alias,luna,typedalias,1,teammates,batch,5828
alias,luna,typedalias,1,teammates,batch,5896
alias,luna,typedalias,1,teammates,batch,5715
alias,luna,typedalias,1,teammates,batch,5485
alias,luna,typedalias,1,teammates,Validation pass,23913
alias,luna,typedalias,1,teammates,Validation pass,25123
alias,luna,typedalias,1,teammates,Validation pass,25456
alias,luna,typedalias,1,teammates,Validation pass,4830
alias,luna,typedalias,1,teastore,Doc knowledge,5002
alias,luna,typedalias,1,teastore,Doc knowledge judge,1142
alias,luna,typedalias,1,teastore,batch,5595
alias,luna,typedalias,1,teastore,Validation pass,14463
