issue_id,in_recovar,recovar_issue_state,in_classification,smell_label,issue_state_ours,has_dep_change_commits,dep_change_missing_recovar,smelly_missing_recovar,dep_mr_count,dep_commit_count,dep_files_with_dep_changes
1355,False,,True,no_smell,closed,True,True,False,1,1,1
1357,True,closed,True,no_smell,closed,False,False,False,0,0,0
1361,False,,True,no_smell,closed,False,False,False,0,0,0
1363,False,,True,no_smell,closed,True,True,False,1,10,10
1364,False,,True,no_smell,closed,True,True,False,1,1,1
1365,True,opened,True,no_smell,opened,False,False,False,0,0,0
1366,False,,True,no_smell,closed,False,False,False,0,0,0
1367,True,closed,True,no_smell,closed,True,False,False,2,2,2
1369,True,closed,True,no_smell,closed,False,False,False,0,0,0
1376,False,,True,no_smell,closed,False,False,False,0,0,0
1381,True,opened,True,no_smell,opened,False,False,False,0,0,0
1382,False,,True,no_smell,closed,False,False,False,0,0,0
1383,True,closed,True,no_smell,closed,True,False,False,1,1,1
1391,False,,True,no_smell,opened,False,False,False,0,0,0
1392,False,,True,no_smell,opened,False,False,False,0,0,0
1393,False,,True,no_smell,closed,False,False,False,0,0,0
1401,False,,True,no_smell,opened,False,False,False,0,0,0
1404,True,closed,True,no_smell,closed,False,False,False,0,0,0
1406,False,,True,no_smell,closed,False,False,False,0,0,0
1409,False,,True,no_smell,closed,False,False,False,0,0,0
1414,False,,True,no_smell,closed,True,True,False,1,2,1
1417,True,opened,True,no_smell,opened,True,False,False,1,1,2
1421,False,,True,no_smell,closed,False,False,False,0,0,0
1422,True,closed,True,no_smell,closed,True,False,False,1,1,3
1430,False,,True,no_smell,closed,False,False,False,0,0,0
1431,False,,True,no_smell,closed,False,False,False,0,0,0
1438,True,closed,True,no_smell,closed,True,False,False,1,1,3
1440,False,,True,no_smell,closed,True,True,False,1,1,1
1442,False,,True,no_smell,closed,True,True,False,1,1,1
1445,False,,True,no_smell,closed,False,False,False,0,0,0
1447,False,,True,no_smell,closed,True,True,False,1,1,1
1453,False,,True,no_smell,closed,True,True,False,1,6,7
1454,False,,True,no_smell,closed,True,True,False,1,6,7
1456,False,,True,no_smell,closed,False,False,False,0,0,0
1457,False,,True,no_smell,closed,True,True,False,1,1,2
1458,True,closed,True,smell,closed,True,False,False,1,2,10
1461,False,,True,smell,closed,True,True,True,1,12,5
1462,False,,True,no_smell,closed,False,False,False,0,0,0
1465,False,,True,no_smell,opened,False,False,False,0,0,0
1466,True,closed,True,no_smell,closed,True,False,False,2,11,16
1468,True,closed,True,no_smell,closed,False,False,False,0,0,0
1469,True,closed,True,no_smell,closed,True,False,False,2,2,2
1470,False,,True,no_smell,closed,False,False,False,0,0,0
1480,False,,True,no_smell,closed,False,False,False,0,0,0
1485,True,opened,True,no_smell,opened,False,False,False,0,0,0
1488,True,closed,True,no_smell,closed,False,False,False,0,0,0
1496,True,closed,True,no_smell,closed,False,False,False,0,0,0
1499,True,closed,True,no_smell,closed,False,False,False,0,0,0
1504,False,,True,no_smell,closed,False,False,False,0,0,0
1506,False,,True,no_smell,closed,False,False,False,0,0,0
1509,True,closed,True,no_smell,closed,False,False,False,0,0,0
1510,True,closed,True,no_smell,closed,False,False,False,0,0,0
1512,False,,True,no_smell,closed,False,False,False,0,0,0
1515,True,opened,True,no_smell,opened,False,False,False,0,0,0
1516,True,closed,True,no_smell,closed,False,False,False,0,0,0
1517,True,closed,True,no_smell,closed,False,False,False,0,0,0
1530,False,,True,no_smell,opened,False,False,False,0,0,0
1531,False,,True,no_smell,opened,True,True,False,1,1,3
1536,False,,True,no_smell,closed,False,False,False,0,0,0
1538,False,,True,no_smell,closed,False,False,False,0,0,0
1540,True,closed,True,no_smell,closed,False,False,False,0,0,0
1542,False,,True,no_smell,opened,False,False,False,0,0,0
1543,True,closed,True,no_smell,closed,False,False,False,0,0,0
1544,True,closed,True,no_smell,closed,False,False,False,0,0,0
1547,False,,True,no_smell,closed,True,True,False,1,1,1
1550,False,,True,no_smell,closed,False,False,False,0,0,0
1551,False,,True,no_smell,closed,True,True,False,1,1,1
1552,True,opened,True,no_smell,opened,True,False,False,1,1,1
1554,True,opened,True,no_smell,opened,False,False,False,0,0,0
1557,False,,True,no_smell,closed,False,False,False,0,0,0
1561,True,closed,True,no_smell,closed,False,False,False,0,0,0
1565,False,,True,no_smell,opened,False,False,False,0,0,0
1566,False,,True,no_smell,closed,False,False,False,0,0,0
1567,True,closed,True,smell,closed,True,False,False,2,18,24
1568,False,,True,no_smell,closed,True,True,False,1,1,1
1571,False,,True,no_smell,closed,False,False,False,0,0,0
1572,True,closed,True,no_smell,closed,False,False,False,0,0,0
1575,False,,True,no_smell,opened,False,False,False,0,0,0
1577,True,closed,True,no_smell,closed,True,False,False,1,1,2
1579,False,,True,no_smell,closed,False,False,False,0,0,0
1586,False,,True,no_smell,closed,False,False,False,0,0,0
1587,True,closed,True,smell,closed,True,False,False,1,3,21
1591,True,closed,True,no_smell,closed,True,False,False,1,2,3
1592,False,,True,no_smell,closed,False,False,False,0,0,0
1595,False,,True,smell,closed,True,True,True,1,12,5
1599,False,,True,no_smell,closed,False,False,False,0,0,0
1603,False,,True,no_smell,closed,False,False,False,0,0,0
1605,False,,True,no_smell,closed,False,False,False,0,0,0
1606,False,,True,no_smell,closed,True,True,False,1,1,1
1607,False,,True,no_smell,closed,False,False,False,0,0,0
1614,True,closed,True,no_smell,closed,True,False,False,2,11,16
1616,True,closed,True,no_smell,closed,True,False,False,1,1,1
1617,False,,True,no_smell,closed,False,False,False,0,0,0
1618,False,,True,no_smell,closed,False,False,False,0,0,0
1621,False,,True,no_smell,closed,False,False,False,0,0,0
1622,False,,True,no_smell,closed,False,False,False,0,0,0
1625,True,opened,True,no_smell,opened,False,False,False,0,0,0
1631,False,,True,no_smell,closed,True,True,False,1,4,5
1632,False,,True,no_smell,closed,True,True,False,2,2,2
1634,False,,True,no_smell,closed,False,False,False,0,0,0
1635,True,closed,True,no_smell,closed,False,False,False,0,0,0
1637,False,,True,no_smell,closed,True,True,False,2,2,4
1638,False,,True,no_smell,closed,False,False,False,0,0,0
1639,False,,True,no_smell,closed,False,False,False,0,0,0
1641,True,closed,True,no_smell,closed,False,False,False,0,0,0
1643,False,,True,no_smell,closed,False,False,False,0,0,0
1645,False,,True,no_smell,closed,False,False,False,0,0,0
1647,True,closed,True,no_smell,closed,True,False,False,1,1,1
1649,False,,True,no_smell,closed,False,False,False,0,0,0
1650,False,,True,no_smell,closed,False,False,False,0,0,0
1651,False,,True,no_smell,closed,False,False,False,0,0,0
1652,True,closed,True,no_smell,closed,False,False,False,0,0,0
1656,False,,True,no_smell,closed,False,False,False,0,0,0
1661,False,,True,no_smell,closed,False,False,False,0,0,0
1666,False,,True,no_smell,closed,False,False,False,0,0,0
1674,False,,True,no_smell,opened,False,False,False,0,0,0
1675,True,closed,True,no_smell,closed,True,False,False,1,1,2
1676,False,,True,no_smell,closed,False,False,False,0,0,0
1677,True,closed,True,smell,closed,True,False,False,1,5,18
1678,True,closed,True,no_smell,closed,True,False,False,1,4,7
1679,False,,True,no_smell,closed,False,False,False,0,0,0
1680,True,closed,True,smell,closed,True,False,False,2,5,17
1681,False,,True,no_smell,closed,False,False,False,0,0,0
1690,False,,True,no_smell,opened,False,False,False,0,0,0
1691,False,,True,no_smell,opened,False,False,False,0,0,0
1692,True,closed,True,no_smell,closed,False,False,False,0,0,0
1694,False,,True,no_smell,opened,False,False,False,0,0,0
1695,False,,True,no_smell,closed,False,False,False,0,0,0
1697,False,,True,no_smell,closed,False,False,False,0,0,0
1700,False,,True,no_smell,closed,False,False,False,0,0,0
1701,True,closed,True,no_smell,closed,True,False,False,1,1,2
1708,False,,True,no_smell,closed,False,False,False,0,0,0
