backend,run,arm,project,tp,fp,fn,precision,recall,f1,f2
terra,1,Full,mediastore,31,3,0,0.9118,1.0,0.9538,0.981
terra,1,Full,teastore,26,0,1,1.0,0.963,0.9811,0.9701
terra,1,Full,teammates,54,13,3,0.806,0.9474,0.871,0.9153
terra,1,Full,bigbluebutton,58,15,4,0.7945,0.9355,0.8593,0.9034
terra,1,Full,jabref,18,1,0,0.9474,1.0,0.973,0.989
terra,1,Full,Average,37.4,6.4,1.6,0.8919,0.9692,0.9276,0.9518
terra,2,Full,mediastore,31,3,0,0.9118,1.0,0.9538,0.981
terra,2,Full,teastore,26,0,1,1.0,0.963,0.9811,0.9701
terra,2,Full,teammates,51,12,6,0.8095,0.8947,0.85,0.8763
terra,2,Full,bigbluebutton,58,15,4,0.7945,0.9355,0.8593,0.9034
terra,2,Full,jabref,18,0,0,1.0,1.0,1.0,1.0
terra,2,Full,Average,36.8,6.0,2.2,0.9032,0.9586,0.9288,0.9462
terra,3,Full,mediastore,26,3,5,0.8966,0.8387,0.8667,0.8497
terra,3,Full,teastore,26,0,1,1.0,0.963,0.9811,0.9701
terra,3,Full,teammates,52,11,5,0.8254,0.9123,0.8667,0.8935
terra,3,Full,bigbluebutton,61,7,1,0.8971,0.9839,0.9385,0.9652
terra,3,Full,jabref,18,0,0,1.0,1.0,1.0,1.0
terra,3,Full,Average,36.6,4.2,2.4,0.9238,0.9396,0.9306,0.9357
terra,average,Full,mediastore,29.3,3.0,1.7,0.9067,0.9462,0.9248,0.9372
terra,average,Full,teastore,26.0,0.0,1.0,1.0,0.963,0.9811,0.9701
terra,average,Full,teammates,52.3,12.0,4.7,0.8136,0.9181,0.8626,0.895
terra,average,Full,bigbluebutton,59.0,12.3,3.0,0.8287,0.9516,0.8857,0.924
terra,average,Full,jabref,18.0,0.3,0.0,0.9825,1.0,0.991,0.9963
terra,average,Full,Average,36.9,5.5,2.1,0.9063,0.9558,0.929,0.9446
terra,1,OneCall,mediastore,29,0,2,1.0,0.9355,0.9667,0.9477
terra,1,OneCall,teastore,27,19,0,0.587,1.0,0.7397,0.8766
terra,1,OneCall,teammates,47,4,10,0.9216,0.8246,0.8704,0.8423
terra,1,OneCall,bigbluebutton,44,7,18,0.8627,0.7097,0.7788,0.7358
terra,1,OneCall,jabref,18,0,0,1.0,1.0,1.0,1.0
terra,1,OneCall,Average,33.0,6.0,6.0,0.8743,0.894,0.8711,0.8805
terra,2,OneCall,mediastore,28,0,3,1.0,0.9032,0.9492,0.9211
terra,2,OneCall,teastore,27,22,0,0.551,1.0,0.7105,0.8599
terra,2,OneCall,teammates,51,29,6,0.6375,0.8947,0.7445,0.8279
terra,2,OneCall,bigbluebutton,41,9,21,0.82,0.6613,0.7321,0.6879
terra,2,OneCall,jabref,18,0,0,1.0,1.0,1.0,1.0
terra,2,OneCall,Average,33.0,12.0,6.0,0.8017,0.8918,0.8273,0.8594
terra,3,OneCall,mediastore,29,0,2,1.0,0.9355,0.9667,0.9477
terra,3,OneCall,teastore,27,21,0,0.5625,1.0,0.72,0.8654
terra,3,OneCall,teammates,48,26,9,0.6486,0.8421,0.7328,0.7947
terra,3,OneCall,bigbluebutton,40,5,22,0.8889,0.6452,0.7477,0.6826
terra,3,OneCall,jabref,18,0,0,1.0,1.0,1.0,1.0
terra,3,OneCall,Average,32.4,10.4,6.6,0.82,0.8846,0.8334,0.8581
terra,average,OneCall,mediastore,28.7,0.0,2.3,1.0,0.9247,0.9609,0.9388
terra,average,OneCall,teastore,27.0,20.7,0.0,0.5668,1.0,0.7234,0.8673
terra,average,OneCall,teammates,48.7,19.7,8.3,0.7359,0.8538,0.7826,0.8216
terra,average,OneCall,bigbluebutton,41.7,7.0,20.3,0.8572,0.6721,0.7529,0.7021
terra,average,OneCall,jabref,18.0,0.0,0.0,1.0,1.0,1.0,1.0
terra,average,OneCall,Average,32.8,9.5,6.2,0.832,0.8901,0.8439,0.866
luna,1,Full,mediastore,30,3,1,0.9091,0.9677,0.9375,0.9554
luna,1,Full,teastore,27,1,0,0.9643,1.0,0.9818,0.9926
luna,1,Full,teammates,57,46,0,0.5534,1.0,0.7125,0.861
luna,1,Full,bigbluebutton,59,13,3,0.8194,0.9516,0.8806,0.9219
luna,1,Full,jabref,18,2,0,0.9,1.0,0.9474,0.9783
luna,1,Full,Average,38.2,13.0,0.8,0.8292,0.9839,0.892,0.9418
luna,2,Full,mediastore,31,3,0,0.9118,1.0,0.9538,0.981
luna,2,Full,teastore,27,1,0,0.9643,1.0,0.9818,0.9926
luna,2,Full,teammates,57,43,0,0.57,1.0,0.7261,0.8689
luna,2,Full,bigbluebutton,62,13,0,0.8267,1.0,0.9051,0.9598
luna,2,Full,jabref,18,2,0,0.9,1.0,0.9474,0.9783
luna,2,Full,Average,39.0,12.4,0.0,0.8346,1.0,0.9028,0.9561
luna,3,Full,mediastore,30,3,1,0.9091,0.9677,0.9375,0.9554
luna,3,Full,teastore,27,2,0,0.931,1.0,0.9643,0.9854
luna,3,Full,teammates,57,45,0,0.5588,1.0,0.717,0.8636
luna,3,Full,bigbluebutton,59,12,3,0.831,0.9516,0.8872,0.9248
luna,3,Full,jabref,18,3,0,0.8571,1.0,0.9231,0.9677
luna,3,Full,Average,38.2,13.0,0.8,0.8174,0.9839,0.8858,0.9394
luna,average,Full,mediastore,30.3,3.0,0.7,0.91,0.9785,0.9429,0.9639
