backend,run,linker_set,macro_f1,macro_f2
luna,run1,full_name_only,0.778690,0.721052
luna,run1,partial_name_only,0.098969,0.084806
luna,run1,coref_only,0.313678,0.228632
luna,run1,full,0.853775,0.848184
luna,run2,full_name_only,0.774859,0.725548
luna,run2,partial_name_only,0.118794,0.098060
luna,run2,coref_only,0.297403,0.219739
luna,run2,full,0.859656,0.864086
luna,run3,full_name_only,0.787655,0.730847
luna,run3,partial_name_only,0.101099,0.083032
luna,run3,coref_only,0.250586,0.182140
luna,run3,full,0.863714,0.858835
luna,average,full_name_only,0.780402,0.725816
luna,average,partial_name_only,0.106287,0.088633
luna,average,coref_only,0.287222,0.210170
luna,average,full,0.859048,0.857035
