backend,run,variant,project,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_file_f2,doc_to_code_component_micro_f1,doc_to_code_component_micro_f2,doc_to_code_worst_component_f1,doc_to_code_worst_component_f2,doc_to_code_harmonic_component_f1,doc_to_code_harmonic_component_f2
luna,run2,NoValidator,bigbluebutton,0.508851,0.958797,0.664853,0.814716,0.797980,0.908046,0.307692,0.526316,0.674432,0.817134
luna,run2,Full,jabref,0.892680,1.000000,0.943297,0.976520,0.956522,0.982143,0.800000,0.909091,0.941176,0.975610
luna,run2,NoFullNameValid,jabref,0.892680,1.000000,0.943297,0.976520,0.956522,0.982143,0.800000,0.909091,0.941176,0.975610
luna,run2,NoPartialNameValid,jabref,0.892680,1.000000,0.943297,0.976520,0.956522,0.982143,0.800000,0.909091,0.941176,0.975610
luna,run2,NoCitation,jabref,0.789685,1.000000,0.882485,0.949428,0.880000,0.948276,0.800000,0.909091,0.883436,0.949868
luna,run2,NoValidator,jabref,0.789685,1.000000,0.882485,0.949428,0.880000,0.948276,0.800000,0.909091,0.883436,0.949868
luna,run3,Full,mediastore,1.000000,0.474576,0.643678,0.530303,0.808511,0.725191,0.000000,0.000000,0.000000,0.000000
luna,run3,NoFullNameValid,mediastore,1.000000,0.474576,0.643678,0.530303,0.808511,0.725191,0.000000,0.000000,0.000000,0.000000
luna,run3,NoPartialNameValid,mediastore,1.000000,0.474576,0.643678,0.530303,0.808511,0.725191,0.000000,0.000000,0.000000,0.000000
luna,run3,NoCitation,mediastore,0.875000,0.474576,0.615385,0.522388,0.745098,0.703704,0.000000,0.000000,0.000000,0.000000
luna,run3,NoValidator,mediastore,0.875000,0.474576,0.615385,0.522388,0.745098,0.703704,0.000000,0.000000,0.000000,0.000000
luna,run3,Full,teastore,1.000000,0.504950,0.671053,0.560440,0.875000,0.813953,0.000000,0.000000,0.000000,0.000000
luna,run3,NoFullNameValid,teastore,1.000000,0.504950,0.671053,0.560440,0.875000,0.813953,0.000000,0.000000,0.000000,0.000000
luna,run3,NoPartialNameValid,teastore,1.000000,0.504950,0.671053,0.560440,0.875000,0.813953,0.000000,0.000000,0.000000,0.000000
luna,run3,NoCitation,teastore,0.556075,0.504950,0.529281,0.514409,0.626866,0.709459,0.000000,0.000000,0.000000,0.000000
luna,run3,NoValidator,teastore,0.556075,0.504950,0.529281,0.514409,0.626866,0.709459,0.000000,0.000000,0.000000,0.000000
luna,run3,Full,teammates,0.824820,0.821662,0.823238,0.822292,0.636364,0.550098,0.750000,0.682325,0.840635,0.841474
luna,run3,NoFullNameValid,teammates,0.679239,0.938619,0.788136,0.872020,0.738916,0.699627,0.646617,0.820611,0.789529,0.890654
luna,run3,NoPartialNameValid,teammates,0.777310,0.821662,0.798871,0.812392,0.546341,0.520446,0.210526,0.400000,0.585674,0.716572
luna,run3,NoCitation,teammates,0.562233,0.845745,0.675445,0.768264,0.596330,0.589837,0.520789,0.585266,0.696746,0.790498
luna,run3,NoValidator,teammates,0.493574,0.939113,0.647066,0.795497,0.582090,0.648918,0.210526,0.400000,0.499733,0.706095
luna,run3,Full,bigbluebutton,0.776771,0.953564,0.856136,0.912048,0.951807,0.980149,0.740741,0.694444,0.905422,0.931798
luna,run3,NoFullNameValid,bigbluebutton,0.776771,0.953564,0.856136,0.912048,0.951807,0.980149,0.740741,0.694444,0.905422,0.931798
luna,run3,NoPartialNameValid,bigbluebutton,0.555429,0.953564,0.701974,0.834001,0.831579,0.925059,0.333333,0.555556,0.700792,0.831812
luna,run3,NoCitation,bigbluebutton,0.703455,0.958797,0.811514,0.893902,0.902857,0.958738,0.740741,0.694444,0.877016,0.920141
luna,run3,NoValidator,bigbluebutton,0.523385,0.958797,0.677136,0.822025,0.802030,0.910138,0.333333,0.555556,0.685998,0.823866
luna,run3,Full,jabref,0.892680,1.000000,0.943297,0.976520,0.956522,0.982143,0.800000,0.909091,0.941176,0.975610
luna,run3,NoFullNameValid,jabref,0.892680,1.000000,0.943297,0.976520,0.956522,0.982143,0.800000,0.909091,0.941176,0.975610
luna,run3,NoPartialNameValid,jabref,0.892680,1.000000,0.943297,0.976520,0.956522,0.982143,0.800000,0.909091,0.941176,0.975610
luna,run3,NoCitation,jabref,0.789685,1.000000,0.882485,0.949428,0.880000,0.948276,0.800000,0.909091,0.883436,0.949868
luna,run3,NoValidator,jabref,0.789685,1.000000,0.882485,0.949428,0.880000,0.948276,0.800000,0.909091,0.883436,0.949868
luna,average,Full,bigbluebutton,0.793094,0.953564,0.865845,0.916392,0.936877,0.973727,0.736252,0.694444,0.896714,0.928072
luna,average,Full,jabref,0.928292,1.000000,0.962117,0.984314,0.971015,0.988095,0.866667,0.939394,0.960784,0.983740
luna,average,Full,mediastore,1.000000,0.474576,0.643678,0.530303,0.808511,0.725191,0.000000,0.000000,0.000000,0.000000
luna,average,Full,teammates,0.844379,0.833313,0.838791,0.835491,0.675078,0.589469,0.716125,0.682325,0.824720,0.842426
luna,average,Full,teastore,0.986315,0.512023,0.673359,0.566222,0.861111,0.801033,0.111111,0.079365,0.243902,0.210084
luna,average,NoCitation,bigbluebutton,0.657844,0.958797,0.779809,0.877971,0.873687,0.945131,0.627866,0.682261,0.824670,0.895729
luna,average,NoCitation,jabref,0.816623,1.000000,0.898579,0.956654,0.885986,0.951025,0.800000,0.909091,0.888957,0.952394
